COUNTY,STATE,PER_CAPITA_INCOME,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_FAMILY_INCOME,POPULATION,NUMBER_OF_HOUSEHOLDS
BARNSTABLE,MASSACHUSETTS,36142,60526,76311,215449,95398
JEFFERSON,COLORADO,36087,68984,84957,540669,219562
ELBERT,COLORADO,36077,82118,89653,23295,8240
ST. MARY'S,MARYLAND,36017,85672,95186,107079,37589
SUBLETTE,WYOMING,35944,77900,85885,10178,3502
DALLAS,IOWA,35844,73847,90092,69526,26262
KENDALL,TEXAS,35827,73410,86750,34951,12760
ALAMEDA,CALIFORNIA,35763,72112,88618,1535248,545071
BLAINE,IDAHO,35524,64042,76575,21294,9207
SCOTT,MINNESOTA,35467,86112,97693,132774,45630
HARFORD,MARYLAND,35425,80622,92642,246664,90708
FAYETTE,GEORGIA,35344,79977,91574,107105,37930
DENALI,ALASKA,35295,72500,99091,2020,716
PLYMOUTH,MASSACHUSETTS,35220,75092,90431,497386,179617
SARATOGA,NEW YORK,35176,69826,87058,221169,88460
ESSEX,MASSACHUSETTS,35167,67311,84185,750808,286008
PLATTE,MISSOURI,35143,67721,83110,90842,36781
UNION,NEW JERSEY,35089,68507,83164,540568,185483
PLACER,CALIFORNIA,34886,72725,87352,355924,132709
EL DORADO,CALIFORNIA,34884,69297,85253,180982,67885
ROUTT,COLORADO,34873,62002,74559,23409,9647
LINCOLN,SOUTH DAKOTA,34839,74751,85666,46693,17250
DAKOTA,MINNESOTA,34828,73732,88889,402306,154275
NAPA,CALIFORNIA,34795,70443,79700,137837,49431
ST. LOUIS,MISSOURI,34795,58910,75532,999725,403293
HARTFORD,CONNECTICUT,34698,64967,81805,895827,347874
ROCKWALL,TEXAS,34617,86119,92837,81020,26820
ROCKLAND,NEW YORK,34591,84951,99649,315069,98326
FORSYTH,GEORGIA,34582,86569,99573,182916,58080
ORANGE,NORTH CAROLINA,34465,55569,84770,136057,51403
GEAUGA,OHIO,34455,67663,81952,93610,34621
TOLLAND,CONNECTICUT,34392,80529,95996,152366,54327
HILLSBOROUGH,NEW HAMPSHIRE,34390,69829,84430,402017,154324
BALTIMORE,MARYLAND,34374,66486,81116,812261,313912
MIDDLESEX,NEW JERSEY,34345,79596,93519,817026,280988
YAKUTAT,ALASKA,34317,72500,80875,607,254
KING GEORGE,VIRGINIA,34234,81753,90752,24151,8314
PETERSBURG CENSUS AREA,ALASKA,34183,63934,84861,3806,1643
DOUGLAS,NEVADA,34123,60100,67597,47035,19455
FORT BEND,TEXAS,34084,85297,94931,608939,191406
OLMSTED,MINNESOTA,34073,66252,83250,146063,57262
LOVING,TEXAS,34068,68750,88438,87,33
ORANGE,CALIFORNIA,34057,75422,84765,3051771,995512
MARTIN,FLORIDA,34057,49846,68003,147786,59891
SUMMIT,COLORADO,34025,63697,79420,28091,11138
MONROE,FLORIDA,33974,53607,63550,74213,28503
DENTON,TEXAS,33855,74155,90086,687857,243394
CAMPBELL,WYOMING,33850,79488,84746,46901,17108
KENT,RHODE ISLAND,33814,62279,80038,165628,68880
MOUNTRAIL,NORTH DAKOTA,33803,68722,76282,8280,3069
OCONEE,GEORGIA,33801,75004,82625,33240,11485
DUNN,NORTH DAKOTA,33788,60500,76346,3786,1438
NEW LONDON,CONNECTICUT,33782,66583,82076,274090,107066
DANE,WISCONSIN,33712,61721,83509,496762,206982
MIDLAND,TEXAS,33672,62993,72635,142289,50644
LLANO,TEXAS,33634,44094,60285,19223,8519
COLUMBIA,NEW YORK,33613,57336,72649,62674,25280
DUTCHESS,NEW YORK,33594,72525,88777,297385,107830
OLDHAM,KENTUCKY,33591,83391,91587,60940,19532
WARREN,NEW JERSEY,33555,70912,85091,108150,41463
HANOVER,VIRGINIA,33540,75070,88604,100328,36927
STOREY,NEVADA,33472,61573,64173,3981,1843
DUKES,MASSACHUSETTS,33363,66288,82452,16739,5891
TOWNER,NORTH DAKOTA,33357,55521,67969,2285,1034
SHELBY,ALABAMA,33313,68770,82558,198366,74144
CHITTENDEN,VERMONT,33281,63989,83887,157637,62587
DENVER,COLORADO,33251,50313,63705,619297,266069
WASHTENAW,MICHIGAN,33231,59055,85115,348560,135800
TRAVIS,TEXAS,33206,58025,73951,1063248,411876
DELAWARE,PENNSYLVANIA,33179,64041,81523,559771,204771
WARREN,OHIO,33172,72487,85636,215274,76546
MADISON,MISSISSIPPI,33170,59904,73775,97151,36342
WAKE,NORTH CAROLINA,33166,66006,83568,929214,348627
GRAND ISLE,VERMONT,33159,59509,69722,6984,3023
HENRICO,VIRGINIA,33115,61048,75640,311314,123683
MCKENZIE,NORTH DAKOTA,33078,64866,77366,7377,2666
COBB,GEORGIA,33069,63920,78058,699235,261242
FOSTER,NORTH DAKOTA,33063,50677,68547,3355,1555
MADISON,MONTANA,33062,47762,61672,7702,3542
OURAY,COLORADO,33015,64601,72229,4475,1943
COMAL,TEXAS,32980,65839,77324,112083,41954
CAPE MAY,NEW JERSEY,32948,56494,74112,96684,42312
VENTURA,CALIFORNIA,32930,76544,86301,829017,267076
MONTGOMERY,TEXAS,32911,67766,79541,472162,163462
BURKE,NORTH DAKOTA,32908,53693,70096,2094,1007
WORCESTER,MARYLAND,32887,57952,68840,51479,20530
CUMBERLAND,MAINE,32880,57461,75432,283046,117359
BURLEIGH,NORTH DAKOTA,32876,61811,82235,83906,34703
COOK,MINNESOTA,32868,52215,59643,5195,2614
PALM BEACH,FLORIDA,32858,52432,64260,1339221,526007
SONOMA,CALIFORNIA,32835,63356,75896,487469,185660
SUFFOLK,MASSACHUSETTS,32835,53540,61449,735701,288240
CLACKAMAS,OREGON,32781,64352,76549,380532,146527
GREELEY,KANSAS,32650,52847,58875,1202,493
HUDSON,NEW JERSEY,32641,58442,62168,644605,243875
GLOUCESTER,NEW JERSEY,32600,74524,87913,289098,104145
ARAPAHOE,COLORADO,32595,60651,73649,585333,225552
VALDEZ-CORDOVA CENSUS AREA,ALASKA,32579,74878,88480,9682,3424
CHESTERFIELD,VIRGINIA,32572,72088,83877,320430,113637
NEW HAVEN,CONNECTICUT,32523,61996,79408,862611,328013
SITKA,ALASKA,32521,69405,78000,8945,3554
BEAUFORT,SOUTH CAROLINA,32503,57316,66878,165354,64417
BOTETOURT,VIRGINIA,32490,65935,74798,33076,12825
MECKLENBURG,NORTH CAROLINA,32482,55444,68083,947135,366689
NEW CASTLE,DELAWARE,32406,64537,79954,542784,200739
NEVADA,CALIFORNIA,32346,57353,70148,98509,40991
PRINCE GEORGE'S,MARYLAND,32344,73623,84808,873481,303441
MCHENRY,ILLINOIS,32341,76145,87760,308060,108852
ALBANY,NEW YORK,32328,59394,81846,305279,122700
SARASOTA,FLORIDA,32313,49052,61339,383094,170555
SANTA FE,NEW MEXICO,32298,52917,64737,145400,61012
SANTA CRUZ,CALIFORNIA,32295,66519,80899,264808,93504
OLIVER,NORTH DAKOTA,32253,71250,81500,1840,753
ST. CROIX,WISCONSIN,32220,68426,80740,84912,32114
ESSEX,NEW JERSEY,32181,55095,69448,785853,277302
FAIRBANKS NORTH STAR,ALASKA,32143,69223,82930,98656,35588
LIVINGSTON,MICHIGAN,32129,72359,82959,182402,67691
NEW KENT,VIRGINIA,32068,70618,78995,18791,6886
BOWMAN,NORTH DAKOTA,32045,56964,76750,3168,1354
RICHLAND,MONTANA,32036,58112,72115,10318,4270
CAVALIER,NORTH DAKOTA,32028,55904,72946,3952,1754
WASHINGTON,WISCONSIN,32020,66159,79911,132186,52053
LAMOURE,NORTH DAKOTA,31989,53691,65958,4136,1955
BOTTINEAU,NORTH DAKOTA,31969,51667,71217,6529,3028
VIRGINIA BEACH,VIRGINIA,31934,65219,76285,442151,164944
MADISON,ALABAMA,31933,58434,75766,339279,132975
RICHMOND,NEW YORK,31823,72569,86133,470223,164609
CUMBERLAND,PENNSYLVANIA,31791,60826,77057,237449,95286
ALEUTIANS WEST CENSUS AREA,ALASKA,31790,81853,87159,5538,1033
DICKINSON,IOWA,31790,56136,64798,16818,7981
KITSAP,WASHINGTON,31769,62413,74993,252687,97622
MERCER,NORTH DAKOTA,31767,66534,80827,8456,3650
MONROE,ILLINOIS,31758,68482,81766,33181,12506
ROANOKE,VIRGINIA,31728,60795,75860,92824,37928
BARNES,NORTH DAKOTA,31721,50274,67150,11085,4871
LANE,KANSAS,31694,53021,64886,1616,808
GRAND,COLORADO,31684,64664,74418,14535,5227
ALLEGHENY,PENNSYLVANIA,31593,51366,70380,1226933,526004
KETCHIKAN GATEWAY,ALASKA,31589,62519,85638,13595,5295
ST. CHARLES,MISSOURI,31586,71077,83907,365101,135974
TERRELL,TEXAS,31578,39479,68750,837,403
CARROLL,NEW HAMPSHIRE,31558,50866,58867,47694,20922
WORCESTER,MASSACHUSETTS,31537,65223,81519,802688,299663
SIOUX,NEBRASKA,31517,42014,56813,1229,553
PARK,COLORADO,31504,61570,76104,16131,7038
KENT,MARYLAND,31502,56259,72360,20130,7498
ADAMS,NORTH DAKOTA,31502,47798,65859,2328,1101
HARRIS,GEORGIA,31482,69223,82259,32267,11426
LEELANAU,MICHIGAN,31462,55018,66570,21682,9103
STEELE,NORTH DAKOTA,31455,55735,67159,1976,890
DANIELS,MONTANA,31449,46100,60000,1778,890
STARK,NORTH DAKOTA,31412,62559,75333,25666,10439
SHERIDAN,MONTANA,31378,48667,68769,3473,1612
SPOTSYLVANIA,VIRGINIA,31360,78345,87374,124319,41709
SNOHOMISH,WASHINGTON,31349,68381,80856,724627,268722
MATHEWS,VIRGINIA,31342,55192,71441,8943,3856
MERRIMACK,NEW HAMPSHIRE,31310,65353,80655,146710,56812
MINER,SOUTH DAKOTA,31288,48477,60083,2355,1053
KENDALL,ILLINOIS,31276,81765,91368,116366,38075
KENAI PENINSULA,ALASKA,31256,61793,75689,56163,21720
POWHATAN,VIRGINIA,31252,76548,87045,28108,9544
PIATT,ILLINOIS,31190,63027,73890,16620,6546
RENVILLE,NORTH DAKOTA,31178,60847,77143,2512,1041
CHATHAM,NORTH CAROLINA,31175,57091,66875,64886,26017
GRUNDY,IOWA,31164,56827,70837,12416,5073
GLASSCOCK,TEXAS,31135,69107,98409,1176,409
HAINES,ALASKA,31096,52866,68207,2546,1245
WASHINGTON,OREGON,31078,64180,76711,539608,201771
TELLER,COLORADO,31075,59040,73379,23276,9434
WILLIAMSON,TEXAS,31070,71803,82568,441445,154948
MCLEAN,NORTH DAKOTA,30992,53565,67636,9163,4021
BUTLER,PENNSYLVANIA,30957,58230,74043,184535,73213
COLUMBIA,GEORGIA,30949,69306,77373,128213,43975
CONVERSE,WYOMING,30941,63918,75231,13937,5746
ISLAND,WASHINGTON,30941,58455,69775,78806,33096
STANLEY,SOUTH DAKOTA,30933,54620,61083,2966,1273
WINDSOR,VERMONT,30932,52460,70467,56416,25024
WOODFORD,ILLINOIS,30926,66639,78590,38903,14362
GALVESTON,TEXAS,30926,61877,76204,296669,110032
AUDUBON,IOWA,30919,48313,61845,6002,2684
ISLE OF WIGHT,VIRGINIA,30903,63942,77524,35373,13560
FLUVANNA,VIRGINIA,30881,68288,79101,25860,9462
LARIMER,COLORADO,30740,58626,76194,305798,121423
GRAFTON,NEW HAMPSHIRE,30738,54912,71158,89166,35111
LANCASTER,VIRGINIA,30737,49248,66189,11303,5182
MEDINA,OHIO,30707,65951,77729,173252,65499
PARKER,TEXAS,30692,64515,78626,118478,42322
SAN DIEGO,CALIFORNIA,30668,62962,73495,3138265,1076483
DOOR,WISCONSIN,30657,50438,63361,27826,13459
ANOKA,MINNESOTA,30647,70380,81798,334027,122625
CAMDEN,NEW JERSEY,30592,61683,77369,513512,187941
SLOPE,NORTH DAKOTA,30586,61667,74167,738,296
ORANGE,NEW YORK,30583,70458,85100,373902,125317
INDIAN RIVER,FLORIDA,30532,44772,56151,139356,58038
MIDDLESEX,VIRGINIA,30531,53309,64313,10851,4400
DARE,NORTH CAROLINA,30529,55481,64404,34289,14624
CASS,NORTH DAKOTA,30529,52590,74024,154080,65816
BELKNAP,NEW HAMPSHIRE,30518,58654,67570,60216,25049
SWEETWATER,WYOMING,30517,71525,81595,44437,16682
OCEAN,NEW JERSEY,30477,61136,76822,578902,221774
MULTNOMAH,OREGON,30475,52511,65897,747641,305939
MCLEAN,ILLINOIS,30460,62089,83812,171240,64016
POLK,IOWA,30442,59018,73043,438307,173164
ULSTER,NEW YORK,30442,58590,72632,182086,69862
HODGEMAN,KANSAS,30440,52375,67000,1946,821
NELSON,NORTH DAKOTA,30432,49839,64792,3101,1474
JEFFERSON,MONTANA,30397,60863,76469,11434,4527
WILL,ILLINOIS,30377,76147,86747,679688,222652
ST. TAMMANY,LOUISIANA,30363,60799,74834,236832,87518
HONOLULU,HAWAII,30361,72764,85440,964678,309803
SANTA BARBARA,CALIFORNIA,30352,62779,72602,427288,141720
WARREN,NEW YORK,30351,55904,66622,65584,28081
HUGHES,SOUTH DAKOTA,30284,59338,83474,17238,6992
NESS,KANSAS,30223,48800,61940,3095,1340
SULLY,SOUTH DAKOTA,30218,54524,69345,1420,606
SARPY,NEBRASKA,30189,69965,80985,162728,59606
COOK,ILLINOIS,30183,54548,66187,5212372,1933335
CHARLESTON,SOUTH CAROLINA,30158,50792,65394,358736,143717
LA PLATA,COLORADO,30151,58080,67732,52039,20947
CHAMBERS,TEXAS,30140,72489,82601,35570,12147
GILLESPIE,TEXAS,30117,53668,65457,25003,10655
THOMAS,NEBRASKA,30116,55089,63333,734,323
FREDERICK,VIRGINIA,30112,68424,76530,79453,29172
WHEELER,TEXAS,30097,51766,63000,5526,2319
KANE,ILLINOIS,30082,69530,80085,518380,170358
HOOD,TEXAS,30046,55754,64873,51756,20758
GREENE,OHIO,30040,58080,73972,162588,62836
SAUNDERS,NEBRASKA,30039,59870,74235,20800,8142
GOLIAD,TEXAS,30031,50923,63672,7281,3028
RENSSELAER,NEW YORK,29987,59432,74519,159565,64242
SANGAMON,ILLINOIS,29974,55449,71338,198269,82807
SAN LUIS OBISPO,CALIFORNIA,29954,58697,74885,272094,102154
SARGENT,NORTH DAKOTA,29950,53381,67132,3859,1741
LINN,IOWA,29943,57260,75761,213425,86052
GOODHUE,MINNESOTA,29932,56836,73075,46259,18711
WARRICK,INDIANA,29927,62351,72764,60163,22454
CHESAPEAKE,VIRGINIA,29905,69743,80767,225597,79421
ONTARIO,NEW YORK,29904,56479,70381,108311,43794
NATRONA,WYOMING,29877,57791,69098,77343,31116
KING,TEXAS,29836,65000,76250,321,126
HENDRICKS,INDIANA,29830,68297,79943,148623,52946
DELAWARE,STATE,29819,59878,71811,908446,335707
PLUMAS,CALIFORNIA,29806,45794,55183,19586,8997
LANDER,NEVADA,29800,72742,75857,5844,2010
ARCHULETA,COLORADO,29793,48933,58222,12109,4881
WASHINGTON,VERMONT,29761,57281,70640,59427,24661
THURSTON,WASHINGTON,29744,62229,74207,256080,100801
NORTH DAKOTA,STATE,29732,53741,70767,689781,287270
EMMET,MICHIGAN,29718,50929,61644,32858,13545
HAMILTON,OHIO,29681,48593,65392,802481,327914
NEW HANOVER,NORTH CAROLINA,29679,49835,67938,206403,86010
