COUNTY,STATE,PER_CAPITA_INCOME,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_FAMILY_INCOME,POPULATION,NUMBER_OF_HOUSEHOLDS
MIAMI,KANSAS,28412,58936,73528,32682,12334
LEWIS AND CLARK,MONTANA,28400,56243,70259,64143,26555
SEWARD,NEBRASKA,28359,59435,74309,16824,6165
ELKO,NEVADA,28358,70238,75231,50023,17599
CUSTER,SOUTH DAKOTA,28356,50074,61917,8306,3731
MCHENRY,NORTH DAKOTA,28331,45343,61367,5593,2573
MENARD,ILLINOIS,28330,58190,73969,12687,5071
DOUGLAS,SOUTH DAKOTA,28323,49200,58529,3000,1258
SCHENECTADY,NEW YORK,28319,56061,73910,154821,58059
WASHAKIE,WYOMING,28308,47104,64608,8468,3468
CHEYENNE,NEBRASKA,28296,51529,64504,10022,4405
FRANKLIN,OHIO,28283,50877,64693,1181824,468295
WABASHA,MINNESOTA,28282,53057,66629,21549,8890
COLUMBIA,WISCONSIN,28273,57922,70208,56647,22735
TARRANT,TEXAS,28266,56853,67436,1848423,659736
JEFFERSON,WASHINGTON,28266,46320,62737,29882,13801
HAMILTON,NEW YORK,28265,51522,60170,4813,1854
CHASE,NEBRASKA,28241,45610,51810,3984,1697
PIERCE,WASHINGTON,28223,59204,70077,805434,300623
CROOK,WYOMING,28212,53237,60909,7110,3010
YORK,NEBRASKA,28207,49633,63940,13762,5501
BROWARD,FLORIDA,28205,51251,61526,1784889,663458
FAYETTE,TENNESSEE,28201,56618,65276,38502,14535
FRANKLIN,TEXAS,28189,45523,61723,10611,4304
OUTAGAMIE,WISCONSIN,28186,58318,71464,178013,69572
ASCENSION,LOUISIANA,28178,69070,77640,109920,38287
KANAWHA,WEST VIRGINIA,28174,46085,58481,192311,82756
UNITED STATES,COUNTRY,28155,53046,64719,311536594,115610216
GRAHAM,KANSAS,28146,47500,59000,2604,1192
KNOX,TENNESSEE,28136,47694,64310,436983,181100
SOMERVELL,TEXAS,28134,55269,70625,8537,3193
YORK,PENNSYLVANIA,28132,58745,70001,436339,167592
GRANT,NORTH DAKOTA,28129,41694,59531,2372,1113
HANCOCK,INDIANA,28111,62981,72559,70466,26071
O'BRIEN,IOWA,28086,48185,63912,14249,6098
RAMSEY,NORTH DAKOTA,28081,48604,63380,11473,4826
JOHNSON,WYOMING,28072,57004,63343,8595,3679
SHERBURNE,MINNESOTA,28071,73098,80939,89120,29948
LINCOLN,MAINE,28070,50181,59398,34297,14817
IOWA,IOWA,28068,58008,73465,16323,6745
EUREKA,NEVADA,28056,64632,94648,1804,733
IRION,TEXAS,28055,50357,58875,1603,654
WESTMORELAND,PENNSYLVANIA,28051,50736,65027,364090,152109
MONO,CALIFORNIA,28046,61757,72237,14217,5268
TAZEWELL,ILLINOIS,28037,56067,68994,135747,54428
GUTHRIE,IOWA,28030,50609,62036,10843,4641
TRAVERSE,MINNESOTA,28030,45714,62258,3507,1510
BAYLOR,TEXAS,28021,33445,56656,3678,1798
LAC QUI PARLE,MINNESOTA,28014,48468,60873,7184,3074
OTTAWA,OHIO,27979,53202,65311,41372,17614
ERIE,NEW YORK,27978,50653,65897,919230,380152
PUTNAM,WEST VIRGINIA,27957,54854,65900,56033,21391
SHERIDAN,WYOMING,27948,52008,67673,29376,12381
PLYMOUTH,IOWA,27942,58888,73086,24923,9867
PERKINS,NEBRASKA,27931,58625,66000,2949,1262
JEFFERSON,KENTUCKY,27925,46959,61622,746580,305832
LEHIGH,PENNSYLVANIA,27923,54923,67081,352068,133289
CHISAGO,MINNESOTA,27914,67157,75513,53691,19569
HETTINGER,NORTH DAKOTA,27910,47743,65577,2539,1097
EMMET,IOWA,27908,48601,63310,10141,4119
HARRIS,TEXAS,27899,53137,60594,4182285,1434694
WINDHAM,CONNECTICUT,27893,59333,74484,118115,44018
LOGAN,NORTH DAKOTA,27887,49076,60903,1966,827
LAKE,MINNESOTA,27883,46939,61548,10825,4982
CLARK,SOUTH DAKOTA,27878,49055,65089,3635,1431
CHESHIRE,NEW HAMPSHIRE,27874,55155,70026,76896,30458
KNOX,MAINE,27865,49755,60581,39694,16941
WILSON,TENNESSEE,27864,60390,70024,116948,42800
GREENE,GEORGIA,27828,42565,51000,16091,6353
PARK,WYOMING,27824,53951,64802,28557,11801
SUMMIT,OHIO,27818,49669,64157,541592,220375
PEMBINA,NORTH DAKOTA,27817,49846,62147,7327,3328
SCOTT,KENTUCKY,27802,61893,71455,48149,17989
CLINTON,ILLINOIS,27802,61720,76109,37891,14051
ARCHER,TEXAS,27800,56452,68419,8853,3342
HANCOCK,MAINE,27797,47460,60022,54557,24355
KEARNEY,NEBRASKA,27796,56466,62308,6518,2621
BREWSTER,TEXAS,27796,40477,55893,9244,4152
SUMNER,TENNESSEE,27795,55509,64806,163724,60835
LE SUEUR,MINNESOTA,27793,58922,70426,27758,10997
BROWN,WISCONSIN,27787,53119,67159,250597,98962
YELLOWSTONE,MONTANA,27761,51342,65486,150156,61023
SPINK,SOUTH DAKOTA,27757,48911,61063,6522,2624
LOS ANGELES,CALIFORNIA,27749,55909,62237,9893481,3230383
YOLO,CALIFORNIA,27730,55918,74687,202288,70347
SUTTON,TEXAS,27721,53806,60395,4058,1445
DOUGLAS,MINNESOTA,27716,50905,65133,36264,15757
RICHLAND,NORTH DAKOTA,27713,53759,72409,16258,6614
KENTON,KENTUCKY,27704,54270,66229,160828,61800
PIKE,PENNSYLVANIA,27691,59340,68671,57179,21581
EMMONS,NORTH DAKOTA,27690,38477,48816,3521,1634
MADISON,IOWA,27685,57581,68812,15606,6092
MOODY,SOUTH DAKOTA,27682,51791,62624,6460,2686
CLARK,WASHINGTON,27681,58225,68276,432549,158855
TULSA,OKLAHOMA,27676,48181,60745,609610,241915
BUTLER,NEBRASKA,27673,50247,65225,8334,3482
GRAND TRAVERSE,MICHIGAN,27660,51766,63616,88182,34655
ORANGE,VIRGINIA,27655,60287,67802,33934,12621
GUNNISON,COLORADO,27654,52332,67047,15421,6293
POLK,NEBRASKA,27639,52848,63664,5342,2232
COFFEY,KANSAS,27627,51793,66026,8516,3501
COLONIAL HEIGHTS,VIRGINIA,27610,50835,66704,17481,7017
MARATHON,WISCONSIN,27607,53363,64950,134497,53079
CARBON,MONTANA,27599,47831,60375,10126,4322
JEFFERSON,IOWA,27593,48814,60989,16800,6919
RIO BLANCO,COLORADO,27586,60128,75978,6770,2638
BRYAN,GEORGIA,27556,64707,74513,31410,11230
CANADIAN,OKLAHOMA,27552,63629,72849,119546,41876
DEUEL,SOUTH DAKOTA,27525,51632,64432,4362,1789
DESCHUTES,OREGON,27524,50209,61488,160565,64568
WISCONSIN,STATE,27523,52413,66534,5706871,2288332
EAST BATON ROUGE,LOUISIANA,27505,48506,63558,441901,167422
SUMTER,FLORIDA,27504,48493,58068,98409,43507
MASON,TEXAS,27504,46865,59531,4034,1699
KIMBLE,TEXAS,27502,43424,53145,4566,1895
LAWRENCE,SOUTH DAKOTA,27498,43273,66387,24305,10597
CARTERET,NORTH CAROLINA,27496,46534,57328,67198,29158
WIBAUX,MONTANA,27492,41875,67361,928,409
KINGSBURY,SOUTH DAKOTA,27485,51373,61858,5142,2311
GRANT,OKLAHOMA,27469,46625,58478,4522,1951
CASS,MISSOURI,27463,60350,68480,99875,37307
PIERCE,WISCONSIN,27462,59226,74867,40870,15069
MCPHERSON,KANSAS,27462,54167,68039,29297,11540
ADA,IDAHO,27452,55210,67641,401673,151600
MURRAY,MINNESOTA,27450,52160,63545,8639,3820
INYO,CALIFORNIA,27441,44796,70185,18482,7873
ANDREWS,TEXAS,27429,57825,76563,15554,5217
BOSSIER,LOUISIANA,27429,53248,67961,119947,45776
CUYAHOGA,OHIO,27423,43804,59745,1272533,534476
TOMPKINS,NEW YORK,27418,51393,73828,102270,38409
PULASKI,ARKANSAS,27414,46013,58688,386106,153720
MADISON,ILLINOIS,27407,53633,67064,268373,107238
FRANKLIN,VERMONT,27398,56240,68408,48019,18616
ATLANTIC,NEW JERSEY,27391,54235,66619,274960,101091
WARREN,INDIANA,27390,52317,61784,8464,3283
CULPEPER,VIRGINIA,27379,64423,75328,47330,16039
MCMULLEN,TEXAS,27375,39500,56591,616,254
ROGERS,OKLAHOMA,27365,58525,67554,87730,32693
JACKSON,MISSISSIPPI,27361,51681,64625,10263,4469
BARTHOLOMEW,INDIANA,27359,54165,64614,77930,30041
STUTSMAN,NORTH DAKOTA,27351,50120,65032,21046,8873
LEE,FLORIDA,27348,47439,56847,633968,241531
AMADOR,CALIFORNIA,27347,53684,68593,37422,14262
DAWSON,GEORGIA,27330,53525,60910,22387,8506
BUTLER,KANSAS,27329,56454,70484,65786,24270
ROGER MILLS,OKLAHOMA,27326,53885,61583,3713,1305
EDDY,NORTH DAKOTA,27323,44250,55500,2382,1104
MANATEE,FLORIDA,27322,47876,58263,329487,131197
ROCKINGHAM,VIRGINIA,27298,52195,60869,76885,29440
MADISON,VIRGINIA,27296,53459,60441,13249,5024
CERRO GORDO,IOWA,27291,44795,61804,43932,19967
ORANGE,VERMONT,27289,52480,63253,28966,11962
ADAMS,PENNSYLVANIA,27284,59492,69551,101496,38141
YANKTON,SOUTH DAKOTA,27268,52578,67897,22518,8698
CHARLOTTESVILLE,VIRGINIA,27268,44601,65579,43663,17443
STEELE,MINNESOTA,27259,56480,71627,36512,14354
MARICOPA,ARIZONA,27256,53596,63910,3889161,1411727
WILSON,TEXAS,27238,64571,71234,43753,15157
TIOGA,NEW YORK,27230,55726,66950,50789,20202
HAMILTON,TENNESSEE,27229,46702,60329,340973,135496
FREDERICKSBURG,VIRGINIA,27222,47040,57404,25931,9779
DEUEL,NEBRASKA,27199,44922,58500,1952,855
GRIGGS,NORTH DAKOTA,27197,45542,63150,2370,1149
FLOYD,INDIANA,27185,53961,66670,75120,29087
RICHMOND,VIRGINIA,27184,40496,48681,207878,84833
ELLIS,OKLAHOMA,27183,47344,59535,4120,1734
CHAFFEE,COLORADO,27182,46504,59631,18063,7832
MAJOR,OKLAHOMA,27168,49905,60313,7604,3084
MCCONE,MONTANA,27161,46667,59375,1794,760
LAMOILLE,VERMONT,27157,52686,64500,24670,10046
DECATUR,KANSAS,27154,39333,44243,2933,1482
PASSAIC,NEW JERSEY,27152,57654,67890,502854,162543
BOONE,IOWA,27149,51826,67769,26310,10574
HILLSBOROUGH,FLORIDA,27149,49596,59894,1257913,471340
RACINE,WISCONSIN,27141,54090,66811,195045,75087
LANCASTER,NEBRASKA,27141,51574,68714,289873,115237
BROWN,SOUTH DAKOTA,27138,51398,64824,36982,15590
WALWORTH,WISCONSIN,27130,54020,68838,102619,39929
CARROLL,ILLINOIS,27118,47985,56063,15199,6671
HENRY,ILLINOIS,27117,52940,64959,50260,20393
MILLS,IOWA,27101,63076,75167,14983,5375
TRAILL,NORTH DAKOTA,27098,48767,71359,8125,3306
LEBANON,PENNSYLVANIA,27074,54818,64877,134411,52023
PUTNAM,ILLINOIS,27074,54196,68179,5927,2471
SKAGIT,WASHINGTON,27065,55925,64951,117641,45293
GREEN,WISCONSIN,27060,55584,68493,36901,14640
DEARBORN,INDIANA,27058,56946,70251,49975,18556
WASHINGTON,OKLAHOMA,27053,48687,58761,51329,21332
EFFINGHAM,ILLINOIS,27051,52108,64204,34274,13544
LOUDON,TENNESSEE,27045,51074,60003,49188,19543
ONEIDA,WISCONSIN,27041,45759,58214,35868,15797
SHELBY,KENTUCKY,27039,57298,70044,42911,15469
BUCHANAN,IOWA,27038,55553,69097,20954,8187
FAYETTE,TEXAS,27032,48015,60929,24662,9999
FAIRFIELD,OHIO,27031,58786,70352,147110,54309
IOWA,STATE,27027,51843,65802,3062553,1226547
GRAND FORKS,NORTH DAKOTA,27026,46745,70875,67357,27465
LEAVENWORTH,27017,63435,77727,77002,26358,
LAKE,SOUTH DAKOTA,27015,48936,66652,11564,4655
BREVARD,FLORIDA,27009,48039,59810,545667,220277
PENNINGTON,SOUTH DAKOTA,27000,50833,64273,102752,40723
GREENE,VIRGINIA,26998,59358,70074,18577,6897
MARIPOSA,CALIFORNIA,26988,49820,62278,18061,7238
YOUNG,TEXAS,26979,44429,58875,18395,7186
THAYER,NEBRASKA,26965,44422,53493,5187,2343
JEFF DAVIS,TEXAS,26958,49056,60341,2311,989
LOUISA,VIRGINIA,26956,54518,66882,33384,13046
WINNEBAGO,WISCONSIN,26955,51010,66466,167860,68140
GARFIELD,WASHINGTON,26954,51548,66182,2249,970
ARANSAS,TEXAS,26953,42476,55880,23627,9834
CHARLEVOIX,MICHIGAN,26947,45949,56236,26030,10667
CAMPBELL,KENTUCKY,26945,54306,69837,90606,35203
MANASSAS PARK,VIRGINIA,26944,71227,74552,15125,4435
KING WILLIAM,VIRGINIA,26940,62670,68397,15959,5998
FREMONT,IOWA,26930,50520,61389,7291,2965
KANSAS,STATE,26929,51332,65069,2868107,1110440
KITTSON,MINNESOTA,26927,48875,64310,4528,1912
SANDOVAL,NEW MEXICO,26924,58017,65768,133503,47164
CALHOUN,ILLINOIS,26924,50436,61464,5062,2061
CLEVELAND,OKLAHOMA,26920,54989,69531,261047,96701
MITCHELL,KANSAS,26911,46667,61486,6368,2804
SUSSEX,DELAWARE,26908,52710,61308,200632,76444
JEFFERSON,LOUISIANA,26908,48261,61131,433477,167251
JEFFERSON,ALABAMA,26906,45429,59095,658552,259634
THOMAS,KANSAS,26903,48187,71777,7902,3120
NEBRASKA,STATE,26899,51672,65328,1841625,725787
RANKIN,MISSISSIPPI,26897,57380,67674,143665,53223
RAWLINS,KANSAS,26897,43482,55551,2545,1224
BOONE,MISSOURI,26895,48627,70096,165776,65649
LEXINGTON,SOUTH CAROLINA,26886,54061,66099,266575,103742
KANDIYOHI,MINNESOTA,26880,50149,62904,42265,17120
HAYS,TEXAS,26873,58651,75729,164144,56459
SANTA ROSA,FLORIDA,26861,57703,66006,155579,57368
PHELPS,NEBRASKA,26856,50000,65884,9186,3808
STARK,ILLINOIS,26843,54203,62993,5942,2416
SHERIDAN,KANSAS,26841,48674,57244,2553,1099
BRUNSWICK,NORTH CAROLINA,26839,46438,54220,110324,47600
MARSHALL,MINNESOTA,26834,52198,65057,9454,4080
CARSON,TEXAS,26827,65026,73125,6158,2337
MCLEOD,MINNESOTA,26824,55170,67968,36321,14716
MAINE,STATE,26824,48453,61107,1328320,553823
ARMSTRONG,TEXAS,26823,61635,76357,1773,647
DALLAS,TEXAS,26816,49481,55113,2412481,858332
BERNALILLO,NEW MEXICO,26814,48801,60740,667092,263135
BUTLER,OHIO,26813,56610,69799,369650,134612
SMITH,KANSAS,26811,45556,51914,3790,1726
OREGON,STATE,26809,50229,61609,3868721,1516456
NIOBRARA,WYOMING,26797,38438,57024,2495,1045
BLANCO,TEXAS,26781,49487,68598,10562,4036
HOWARD,NEBRASKA,26770,49088,65039,6308,2576
LINCOLN,MINNESOTA,26767,47861,63201,5854,2485
BALDWIN,ALABAMA,26766,50221,60864,187114,73283
JONES,IOWA,26762,55041,64955,20637,8063
COWETA,GEORGIA,26757,60813,70163,129397,46912
ST. CHARLES,LOUISIANA,26756,58758,66392,52627,18547
MACOMB,MICHIGAN,26748,53451,66612,845197,332818
HUMBOLDT,IOWA,26746,47897,62143,9776,4222
SACRAMENTO,CALIFORNIA,26739,55064,64154,1435207,517243
BENTON,OREGON,26738,48604,75012,85989,33384
GLYNN,GEORGIA,26724,46407,56221,80280,31547
BERKS,PENNSYLVANIA,26723,55170,67138,412078,153897
LICKING,OHIO,26716,55114,67072,167065,64009
HAMILTON,NEBRASKA,26715,56065,61786,9090,3488
BENTON,ARKANSAS,26715,54515,61706,227439,82150
GARDEN,NEBRASKA,26715,39400,52083,1966,836
BUREAU,ILLINOIS,26705,48977,60525,34594,13998
DEWITT,ILLINOIS,26704,51051,64446,16511,6802
MESA,COLORADO,26700,49471,60534,147432,58598
PICKENS,GEORGIA,26686,51383,59623,29486,11083
NICOLLET,MINNESOTA,26674,60115,71741,32849,12192
SPENCER,KENTUCKY,26666,65209,69980,17303,6230
GRANT,MINNESOTA,26665,50030,61455,5990,2580
SALEM,VIRGINIA,26661,48733,60742,24950,9908
KAUAI,HAWAII,26658,62052,73205,67872,22390
GREENVILLE,SOUTH CAROLINA,26643,49022,61768,459857,175149
OGLE,ILLINOIS,26635,54541,69172,53092,20745
REAGAN,TEXAS,26633,61250,65600,3441,1178
IOWA,WISCONSIN,26625,55659,70079,23709,9610
BENTON,IOWA,26624,56669,69676,25971,10079
MERCER,ILLINOIS,26620,53136,63831,16325,6716
OTTAWA,KANSAS,26614,58396,66085,6078,2408
GARFIELD,COLORADO,26603,57022,66941,56687,20163
JERAULD,SOUTH DAKOTA,26590,46591,54300,2055,882
NEVADA,STATE,26589,52800,61359,2730066,999016
SCHOHARIE,NEW YORK,26584,53245,65610,32404,12820
EATON,MICHIGAN,26582,54115,65740,107920,43362
ESSEX,NEW YORK,26582,47380,60935,39181,15919
CLAY,FLORIDA,26577,59482,68078,192665,67805
BROWN,MINNESOTA,26576,48256,65804,25643,10820
CEDAR,IOWA,26567,58088,66176,18452,7665
OKLAHOMA,OKLAHOMA,26561,45215,58240,732118,285320
YORK,SOUTH CAROLINA,26553,53740,66256,230934,86483
HOT SPRINGS,WYOMING,26544,42019,56344,4825,2238
FORSYTH,NORTH CAROLINA,26541,45724,59764,354656,140439
ALEUTIANS EAST,ALASKA,26535,61250,67750,3141,435
WASHINGTON,MARYLAND,26532,55609,66435,148435,55960
WHATCOM,WASHINGTON,26530,51939,68159,203211,79314
CROW WING,MINNESOTA,26527,47058,57958,62742,26963
PANOLA,TEXAS,26525,52453,61317,23877,8873
HUMBOLDT,NEVADA,26515,59472,74433,16800,6314
KENOSHA,WISCONSIN,26514,54930,68255,166874,62560
MCCOOK,SOUTH DAKOTA,26505,52703,66106,5605,2186
ORLEANS,LOUISIANA,26500,37146,46512,357013,148398
LANCASTER,PENNSYLVANIA,26496,56483,67646,523306,194082
QUEENS,NEW YORK,26495,57001,64371,2256400,778630
MARTIN,MINNESOTA,26472,48530,61233,20634,8797
IREDELL,NORTH CAROLINA,26467,50329,60413,161297,59468
GUILFORD,NORTH CAROLINA,26461,45431,58551,495326,196463
WASHINGTON,IOWA,26459,54554,66967,21834,8948
ROCK ISLAND,ILLINOIS,26455,48702,62123,147477,60456
HOUSTON,MINNESOTA,26450,52545,65646,18915,7809
COKE,TEXAS,26407,40795,60684,3271,1436
OTTER TAIL,MINNESOTA,26400,48961,61645,57369,24356
DORCHESTER,MARYLAND,26388,46361,57893,32617,13386
SHELBY,IOWA,26387,48783,62273,12088,5083
MINNEHAHA,SOUTH DAKOTA,26380,52345,66555,173108,67623
HIGHLAND,VIRGINIA,26372,49625,56625,2276,1006
GRANT,KANSAS,26370,53213,59306,7869,2793
FOND DU LAC,WISCONSIN,26368,53820,65103,101666,41267
LEE,GEORGIA,26357,60104,67319,28631,9773
SAC,IOWA,26350,48093,61942,10227,4435
LAMAR,MISSISSIPPI,26345,51154,62945,56763,21678
DOUGLAS,KANSAS,26342,49508,70955,112210,43398
PLATTE,WYOMING,26335,45512,62596,8701,3642
KERR,TEXAS,26334,43601,55152,49696,20357
CHEROKEE,IOWA,26330,48977,61634,12013,5354
WOOD,OHIO,26326,52069,69704,127325,49086
WASHINGTON,ILLINOIS,26325,52832,64959,14626,5882
PUTNAM,GEORGIA,26321,44764,51380,21241,8457
DAVIE,NORTH CAROLINA,26319,50139,58530,41339,16234
OSBORNE,KANSAS,26313,37925,49073,3846,1727
PROVIDENCE,RHODE ISLAND,26308,49297,62348,627469,237800
CHARLOTTE,FLORIDA,26286,44378,53586,161276,70545
JEFFERSON,KANSAS,26280,56875,67439,18971,7421
GRANITE,MONTANA,26277,45236,57891,3105,1473
MORGAN,UTAH,26274,80337,87922,9692,2860
SCOTT,KANSAS,26274,50605,55938,4930,2121
COLUMBIA,OREGON,26271,54968,63435,49333,19069
LA CROSSE,WISCONSIN,26271,51339,69606,115420,45949
BERKELEY,WEST VIRGINIA,26264,53515,61575,105812,40447
CARSON,NEVADA,26264,51957,63883,54821,21186
DELAWARE,IOWA,26261,54076,68096,17665,7129
BEAVER,PENNSYLVANIA,26258,49217,62792,170382,70867
DUBUQUE,IOWA,26254,51475,66046,94411,37366
VILAS,WISCONSIN,26252,40833,50051,21401,10636
FRANKLIN,KENTUCKY,26243,46071,58556,49390,21058
FLORIDA,STATE,26236,46956,56738,19091156,7158980
ST. CLAIR,ILLINOIS,26234,50578,63373,268939,102885
GOVE,KANSAS,26233,44866,51939,2835,1201
MACON,ILLINOIS,26232,46559,59733,110262,45142
BARBER,KANSAS,26229,45920,56048,4898,2187
LINN,KANSAS,26224,45519,52761,9580,4234
CLARK,NEVADA,26217,52873,60666,1976925,710058
PRATT,KANSAS,26209,46035,60000,9730,4074
RUTLAND,VERMONT,26205,49271,61516,61270,25754
GREENE,IOWA,26205,45865,57150,9255,3969
CHARLES CITY,VIRGINIA,26198,48428,58893,7205,2850
LEON,FLORIDA,26196,46369,68516,278624,110377
HYDE,SOUTH DAKOTA,26195,47813,67292,1387,549
LINCOLN,NEBRASKA,26188,48158,62464,36128,15067
WORTH,IOWA,26187,50476,60159,7562,3197
GUADALUPE,TEXAS,26184,61958,71325,135940,46409
HARRISON,IOWA,26184,54583,67468,14729,5996
POTTER,SOUTH DAKOTA,26180,44556,53750,2323,1051
COLE,MISSOURI,26160,53931,66712,76228,29302
BUNCOMBE,NORTH CAROLINA,26159,44713,56616,241801,100838
DUVAL,FLORIDA,26143,48323,59238,872598,330897
HANCOCK,OHIO,26139,49589,64032,75239,30610
RANSOM,NORTH DAKOTA,26137,49788,66076,5472,2283
ERIE,OHIO,26135,46498,60856,76634,31972
OHIO,WEST VIRGINIA,26135,41025,57865,44156,18553
SHEBOYGAN,WISCONSIN,26126,52920,65968,115235,46312
DAWSON,MONTANA,26126,50405,63551,9132,3885
GOLDEN VALLEY,NORTH DAKOTA,26113,36100,64821,1698,754
HUTCHINSON,SOUTH DAKOTA,26110,42451,59403,7239,2937
BEAVER,OKLAHOMA,26109,51422,60483,5605,2108
SALT LAKE,UTAH,26103,60555,70215,1048314,344089
FRANKLIN,IOWA,26102,48355,54625,10623,4358
FRANKLIN,NEBRASKA,26095,43011,56875,3181,1398
STEARNS,MINNESOTA,26065,54551,69196,151053,56737
RENVILLE,MINNESOTA,26062,50802,58599,15499,6400
JACKSON,MISSOURI,26062,47015,60580,675641,271545
WINCHESTER,VIRGINIA,26060,44200,56967,26587,10393
NELSON,VIRGINIA,26059,48789,59191,14940,6404
SHAWNEE,KANSAS,26057,48451,63230,178378,72584
PERRY,PENNSYLVANIA,26048,57375,66005,45808,18173
OHIO,STATE,26046,48308,61371,11549590,4557655
KOOCHICHING,MINNESOTA,26045,41108,56065,13251,6134
DAVIS,UTAH,26035,69707,76888,311886,95238
LORAIN,OHIO,26030,51816,63212,301720,116705
LYON,MINNESOTA,26028,49594,70016,25703,10083
HAND,SOUTH DAKOTA,26027,47679,59671,3433,1429
WOODS,OKLAHOMA,26022,51619,65064,8849,3439
TEXAS,STATE,26019,51900,61066,25639373,8886471
BIG STONE,MINNESOTA,26019,46313,56012,5209,2347
CHIPPEWA,MINNESOTA,25993,49434,64608,12272,5093
NIAGARA,NEW YORK,25991,47955,63523,215465,88376
SAUK,WISCONSIN,25988,52140,65561,62353,25206
STORY,IOWA,25986,50516,76860,90750,35196
MARSHALL,ILLINOIS,25975,51504,62827,12454,5021
CLINTON,IOWA,25966,49559,63452,48896,20008
SALINE,ARKANSAS,25962,55348,66936,109844,41287
WOOD,WISCONSIN,25961,47685,60258,74469,32037
MCCRACKEN,KENTUCKY,25957,44898,57709,65610,27037
WAUPACA,WISCONSIN,25956,50822,61581,52300,21388
CARBON,WYOMING,25947,55347,65402,15809,6077
ST. LOUIS,MINNESOTA,25946,46517,63168,200327,85238
TUOLUMNE,CALIFORNIA,25943,48426,59152,54728,22025
OCONTO,WISCONSIN,25941,51615,62599,37531,15701
MONROE,MICHIGAN,25939,53972,65363,151408,58702
JACKSON,COLORADO,25936,43606,60714,1371,648
MORGAN,GEORGIA,25933,47729,55030,17870,6513
GWINNETT,GEORGIA,25932,60445,66432,825911,266952
GARFIELD,MONTANA,25921,45096,59423,1145,465
WALWORTH,SOUTH DAKOTA,25915,41826,59449,5477,2342
SAN BENITO,CALIFORNIA,25914,66237,71425,56115,16995
HENDERSON,ILLINOIS,25902,49389,60066,7186,3202
WHEELER,NEBRASKA,25898,38807,53015,869,379
CHELAN,WASHINGTON,25893,51354,61230,73047,27220
KENT,MICHIGAN,25889,51667,63176,609544,229373
BOONE,ILLINOIS,25888,60893,67049,54068,17938
AUSTIN,TEXAS,25884,53265,64760,28573,10615
IDA,IOWA,25869,43449,58470,7099,3182
CLAY,TEXAS,25867,53776,66788,10651,4216
CLALLAM,WASHINGTON,25865,46033,59169,71731,30814
OTOE,NEBRASKA,25855,50881,63841,15727,6438
CURRITUCK,NORTH CAROLINA,25854,57159,66626,23880,9121
POTTAWATTAMIE,IOWA,25847,51304,63669,92962,36460
MONONGALIA,WEST VIRGINIA,25846,44173,68101,98483,36449
WALTON,FLORIDA,25845,43640,56484,56590,22639
LINCOLN,WYOMING,25834,64205,71523,18100,6245
BROWN,INDIANA,25833,51568,59221,15128,5889
WRIGHT,IOWA,25827,45205,59070,13092,5367
MANITOWOC,WISCONSIN,25825,48881,63889,81098,34067
SANBORN,SOUTH DAKOTA,25823,48384,62583,2348,1051
HAMPDEN,MASSACHUSETTS,25817,49094,61474,465144,177990
LINCOLN,WASHINGTON,25816,47195,60478,10481,4457
HANCOCK,IOWA,25814,50105,60921,11243,4648
BANNER,NEBRASKA,25814,36875,51750,816,330
BARTON,KANSAS,25800,44981,56250,27602,11491
POLK,MINNESOTA,25790,50695,64911,31522,12663
FLATHEAD,MONTANA,25790,46581,56284,91536,36901
SIBLEY,MINNESOTA,25789,54017,64750,15146,6090
VALLEY,IDAHO,25785,50473,60100,9698,3519
MORGAN,INDIANA,25781,55354,63148,69217,25621
WASATCH,UTAH,25777,65050,70303,24542,7602
EDMUNDS,SOUTH DAKOTA,25775,49831,65179,4051,1589
KINGFISHER,OKLAHOMA,25773,54666,61528,15069,5733
KENNEBEC,MAINE,25770,46808,59915,121757,51719
CALHOUN,IOWA,25766,44484,55234,9952,4356
MISSOULA,MONTANA,25764,46117,62988,110243,45523
RICHLAND,SOUTH CAROLINA,25763,48359,62935,389708,143874
CUSTER,COLORADO,25761,32427,50000,4245,2048
KALAMAZOO,MICHIGAN,25757,45775,62159,252763,100072
HAAKON,SOUTH DAKOTA,25754,47198,64120,1944,807
POLK,WISCONSIN,25751,48538,58842,43905,18266
PERKINS,SOUTH DAKOTA,25751,38362,56429,2943,1364
SWIFT,MINNESOTA,25750,48026,64250,9678,4315
PLAQUEMINES,LOUISIANA,25748,55138,66800,23385,8615
FRANKLIN,PENNSYLVANIA,25741,52637,63117,150594,58273
SOUTH DAKOTA,STATE,25740,49495,63195,825198,323136
CEDAR,NEBRASKA,25738,48038,58542,8790,3529
WASECA,MINNESOTA,25723,53657,66173,19046,7328
CAROLINE,VIRGINIA,25718,57218,64258,28757,10680
CHAMPAIGN,ILLINOIS,25713,45808,69554,202428,79137
LASALLE,ILLINOIS,25709,52640,64693,113295,44257
GREENE,NEW YORK,25700,49655,60571,48928,18365
HARDING,NEW MEXICO,25686,34063,49167,687,261
VALLEY,MONTANA,25685,47181,58668,7465,3248
MICHIGAN,STATE,25681,48411,60793,9886095,3823280
CLATSOP,OREGON,25680,44683,54849,37157,15749
HENDERSON,NORTH CAROLINA,25670,44815,57062,107583,45246
FREEBORN,MINNESOTA,25668,44683,58220,31129,13230
MEEKER,MINNESOTA,25665,53904,63881,23197,9288
