STATE,CITY,COUNTY,SCH_BUS,AGE,SEX,DRINKING,DRUGS,VEHICLE_TYPE,TRAVEL_SPEED,WEATHER,CRIME_TYPE,CRIME_COUNT,ACC_COUNT,POPULATION
6,0,1,0,2,1,0,0,1,2,1,AMR,1867,473,1553960
6,0,1,0,2,1,0,0,2,2,1,AMR,1867,473,1553960
6,0,1,0,3,1,0,0,1,2,1,AMR,1867,473,1553960
6,0,1,0,3,1,0,0,1,3,1,AMR,1867,473,1553960
6,0,1,0,3,1,0,0,2,1,10,AMR,1867,473,1553960
6,0,1,0,3,1,0,0,2,2,1,AMR,1867,473,1553960
6,0,1,0,3,1,0,0,2,2,10,AMR,1867,473,1553960
6,0,1,0,3,1,0,0,3,1,1,AMR,1867,473,1553960
6,0,1,0,3,1,0,0,3,2,1,AMR,1867,473,1553960
6,0,1,0,3,1,0,0,3,2,10,AMR,1867,473,1553960
6,0,1,0,3,1,0,0,4,1,10,AMR,1867,473,1553960
6,0,1,0,3,1,1,0,4,1,10,AMR,1867,473,1553960
6,0,1,0,3,2,1,0,1,2,1,AMR,1867,473,1553960
6,0,1,0,3,2,1,0,1,3,1,AMR,1867,473,1553960
6,0,1,0,3,2,1,0,4,1,10,AMR,1867,473,1553960
6,0,1,0,4,1,0,0,2,1,10,AMR,1867,473,1553960
6,0,1,0,4,1,0,0,2,2,10,AMR,1867,473,1553960
6,0,1,0,4,1,0,0,3,2,10,AMR,1867,473,1553960
6,0,1,0,4,1,0,0,4,2,1,AMR,1867,473,1553960
6,0,1,0,4,2,0,0,1,2,10,AMR,1867,473,1553960
6,0,1,0,4,2,0,0,2,2,10,AMR,1867,473,1553960
6,0,1,0,4,2,0,0,3,2,10,AMR,1867,473,1553960
6,0,1,0,5,1,0,0,1,2,1,AMR,1867,473,1553960
6,0,1,0,5,1,0,0,1,2,10,AMR,1867,473,1553960
6,0,1,0,5,1,0,0,1,3,1,AMR,1867,473,1553960
6,0,1,0,5,1,0,0,2,2,1,AMR,1867,473,1553960
6,0,1,0,5,1,0,0,2,2,10,AMR,1867,473,1553960
6,0,1,0,5,1,0,0,3,1,1,AMR,1867,473,1553960
6,0,1,0,5,1,0,0,3,2,1,AMR,1867,473,1553960
6,0,1,0,5,1,0,0,3,2,10,AMR,1867,473,1553960
6,0,1,0,5,1,0,0,4,1,10,AMR,1867,473,1553960
6,0,1,0,5,1,1,0,2,2,1,AMR,1867,473,1553960
6,0,1,0,5,1,1,0,3,2,1,AMR,1867,473,1553960
6,0,1,0,5,2,0,0,1,2,1,AMR,1867,473,1553960
6,0,1,0,5,2,0,0,1,3,1,AMR,1867,473,1553960
6,0,1,0,5,2,0,0,2,2,1,AMR,1867,473,1553960
6,0,1,0,5,2,1,0,1,2,1,AMR,1867,473,1553960
6,0,1,0,5,2,1,0,1,3,1,AMR,1867,473,1553960
6,0,1,0,5,2,1,0,2,2,1,AMR,1867,473,1553960
6,0,1,0,6,1,0,0,1,2,1,AMR,1867,473,1553960
6,0,1,0,6,1,0,0,1,3,1,AMR,1867,473,1553960
6,0,1,0,6,1,0,0,3,2,1,AMR,1867,473,1553960
6,0,1,0,6,2,0,0,1,3,1,AMR,1867,473,1553960
6,0,1,0,6,2,0,0,3,2,1,AMR,1867,473,1553960
6,0,1,0,6,2,0,0,4,2,1,AMR,1867,473,1553960
6,0,1,0,7,1,0,0,1,2,1,AMR,1867,473,1553960
6,0,1,0,7,1,0,0,2,2,1,AMR,1867,473,1553960
6,0,1,0,7,2,0,0,1,2,1,AMR,1867,473,1553960
6,0,1,0,7,2,0,0,1,3,1,AMR,1867,473,1553960
6,0,1,0,7,2,0,0,4,2,1,AMR,1867,473,1553960
6,10,1,0,3,1,1,0,1,2,1,AMR,1867,473,1553960
6,10,1,0,4,1,0,0,1,2,1,AMR,1867,473,1553960
6,10,1,0,4,1,1,0,1,2,1,AMR,1867,473,1553960
6,10,1,0,4,1,1,0,4,2,1,AMR,1867,473,1553960
6,10,1,0,5,1,0,0,1,2,1,AMR,1867,473,1553960
6,10,1,0,5,1,0,0,4,2,1,AMR,1867,473,1553960
6,10,1,0,6,1,0,0,1,2,1,AMR,1867,473,1553960
6,10,1,0,6,1,0,0,4,2,1,AMR,1867,473,1553960
6,10,1,0,6,1,1,1,1,2,1,AMR,1867,473,1553960
6,10,1,0,6,1,1,1,4,2,1,AMR,1867,473,1553960
6,340,1,0,1,1,0,0,1,2,1,AMR,1867,473,1553960
6,340,1,0,1,1,0,0,1,3,1,AMR,1867,473,1553960
6,340,1,0,3,1,0,0,1,2,10,AMR,1867,473,1553960
6,340,1,0,3,1,1,0,1,2,1,AMR,1867,473,1553960
6,340,1,0,3,1,1,0,1,3,1,AMR,1867,473,1553960
6,340,1,0,3,2,0,0,1,2,1,AMR,1867,473,1553960
6,340,1,0,3,2,0,0,1,3,1,AMR,1867,473,1553960
6,340,1,0,5,1,0,0,1,2,10,AMR,1867,473,1553960
6,340,1,0,5,2,0,0,2,2,10,AMR,1867,473,1553960
6,340,1,0,5,2,0,0,3,2,10,AMR,1867,473,1553960
6,1054,1,0,3,1,0,0,1,2,1,AMR,1867,473,1553960
6,1054,1,0,6,1,0,0,1,2,1,AMR,1867,473,1553960
6,1364,1,0,3,2,0,0,1,1,10,AMR,1867,473,1553960
6,1364,1,0,3,2,0,0,1,2,1,AMR,1867,473,1553960
6,1364,1,0,3,2,0,0,2,1,10,AMR,1867,473,1553960
6,1364,1,0,3,2,0,0,2,3,1,AMR,1867,473,1553960
6,1364,1,0,4,1,0,0,1,2,10,AMR,1867,473,1553960
6,1364,1,0,4,1,0,0,3,2,10,AMR,1867,473,1553960
6,1364,1,0,5,1,0,0,1,2,1,AMR,1867,473,1553960
6,1364,1,0,5,1,0,0,2,3,1,AMR,1867,473,1553960
6,1364,1,0,5,1,0,0,3,1,1,AMR,1867,473,1553960
6,1364,1,0,5,1,0,0,3,2,1,AMR,1867,473,1553960
6,1364,1,0,5,1,0,0,4,2,1,AMR,1867,473,1553960
6,1364,1,0,5,1,0,1,1,2,1,AMR,1867,473,1553960
6,1364,1,0,5,1,0,1,2,3,1,AMR,1867,473,1553960
6,1364,1,0,5,2,0,0,1,1,10,AMR,1867,473,1553960
6,1364,1,0,5,2,0,0,2,1,10,AMR,1867,473,1553960
6,1364,1,0,6,1,0,0,1,2,10,AMR,1867,473,1553960
6,1364,1,0,6,1,0,0,2,3,1,AMR,1867,473,1553960
6,1364,1,0,6,1,0,0,3,2,10,AMR,1867,473,1553960
6,1364,1,0,6,1,0,0,4,2,1,AMR,1867,473,1553960
6,1560,1,0,2,2,0,0,1,2,1,AMR,1867,473,1553960
6,1560,1,0,2,2,0,0,1,3,1,AMR,1867,473,1553960
6,1560,1,0,2,2,0,0,4,1,1,AMR,1867,473,1553960
6,1560,1,0,3,1,0,0,1,1,1,AMR,1867,473,1553960
6,1560,1,0,3,1,0,0,1,2,1,AMR,1867,473,1553960
6,1560,1,0,3,1,0,0,1,3,1,AMR,1867,473,1553960
6,1560,1,0,3,1,0,0,2,2,1,AMR,1867,473,1553960
6,1560,1,0,3,1,0,0,3,2,1,AMR,1867,473,1553960
6,1560,1,0,3,1,0,0,4,1,1,AMR,1867,473,1553960
6,1560,1,0,3,1,1,0,1,1,1,AMR,1867,473,1553960
6,1560,1,0,3,1,1,0,1,2,1,AMR,1867,473,1553960
6,1560,1,0,3,1,1,0,1,3,1,AMR,1867,473,1553960
6,1560,1,0,3,1,1,0,2,2,1,AMR,1867,473,1553960
6,1560,1,0,3,1,1,1,1,1,1,AMR,1867,473,1553960
6,1560,1,0,3,1,1,1,1,2,1,AMR,1867,473,1553960
6,1560,1,0,3,1,1,1,2,2,1,AMR,1867,473,1553960
6,1560,1,0,3,2,0,0,1,2,1,AMR,1867,473,1553960
6,1560,1,0,3,2,0,0,1,3,1,AMR,1867,473,1553960
6,1560,1,0,3,2,0,0,4,1,1,AMR,1867,473,1553960
6,1560,1,0,3,2,1,0,1,1,1,AMR,1867,473,1553960
6,1560,1,0,3,2,1,0,1,2,1,AMR,1867,473,1553960
6,1560,1,0,3,2,1,0,2,2,1,AMR,1867,473,1553960
6,1560,1,0,4,1,0,0,1,2,1,AMR,1867,473,1553960
6,1560,1,0,4,1,0,0,2,3,1,AMR,1867,473,1553960
6,1560,1,0,4,1,0,0,3,2,1,AMR,1867,473,1553960
6,1560,1,0,4,1,1,0,2,3,1,AMR,1867,473,1553960
6,1560,1,0,5,1,0,0,1,2,1,AMR,1867,473,1553960
6,1560,1,0,5,1,0,0,1,3,1,AMR,1867,473,1553960
6,1560,1,0,5,1,0,0,4,1,1,AMR,1867,473,1553960
6,1560,1,0,5,2,0,0,1,2,1,AMR,1867,473,1553960
6,1560,1,0,5,2,0,0,1,3,1,AMR,1867,473,1553960
6,1560,1,0,5,2,0,0,4,1,1,AMR,1867,473,1553960
6,1560,1,0,6,1,0,0,1,2,1,AMR,1867,473,1553960
6,1560,1,0,6,1,0,0,1,3,1,AMR,1867,473,1553960
6,1560,1,0,6,1,0,0,4,1,1,AMR,1867,473,1553960
6,1560,1,0,6,2,1,0,1,2,1,AMR,1867,473,1553960
6,1560,1,0,6,2,1,0,1,3,1,AMR,1867,473,1553960
6,1560,1,0,6,2,1,0,4,1,1,AMR,1867,473,1553960
6,1920,1,0,1,1,0,0,1,2,1,AMR,1867,473,1553960
6,1920,1,0,1,1,0,0,2,1,1,AMR,1867,473,1553960
6,1920,1,0,1,1,0,0,4,3,1,AMR,1867,473,1553960
6,1920,1,0,3,1,1,0,1,1,1,AMR,1867,473,1553960
6,1920,1,0,3,1,1,0,2,2,1,AMR,1867,473,1553960
6,1920,1,0,3,1,1,0,4,2,1,AMR,1867,473,1553960
6,1920,1,0,3,1,1,0,4,3,1,AMR,1867,473,1553960
6,1920,1,0,3,2,0,0,1,2,1,AMR,1867,473,1553960
6,1920,1,0,3,2,0,0,2,2,1,AMR,1867,473,1553960
6,1920,1,0,3,2,0,0,3,2,1,AMR,1867,473,1553960
6,1920,1,0,5,1,0,0,1,2,1,AMR,1867,473,1553960
6,1920,1,0,5,1,0,0,2,1,1,AMR,1867,473,1553960
6,1920,1,0,5,1,0,0,4,3,1,AMR,1867,473,1553960
6,1920,1,0,5,1,1,0,1,2,1,AMR,1867,473,1553960
6,1920,1,0,5,1,1,0,2,2,1,AMR,1867,473,1553960
6,1920,1,0,5,1,1,0,3,2,1,AMR,1867,473,1553960
6,1920,1,0,6,1,0,0,1,2,1,AMR,1867,473,1553960
6,1920,1,0,6,1,0,0,2,1,1,AMR,1867,473,1553960
6,1920,1,0,6,1,0,0,2,2,1,AMR,1867,473,1553960
6,1920,1,0,6,1,0,0,3,2,1,AMR,1867,473,1553960
6,1920,1,0,6,1,0,0,4,3,1,AMR,1867,473,1553960
6,2370,1,0,3,1,0,0,1,2,1,AMR,1867,473,1553960
6,2370,1,0,3,1,0,0,1,3,1,AMR,1867,473,1553960
6,2370,1,0,3,1,0,0,2,2,1,AMR,1867,473,1553960
6,2370,1,0,6,1,0,0,1,2,1,AMR,1867,473,1553960
6,2370,1,0,6,1,0,0,1,3,1,AMR,1867,473,1553960
6,2370,1,0,6,1,0,0,2,2,1,AMR,1867,473,1553960
6,2480,1,0,1,1,0,0,1,2,1,AMR,1867,473,1553960
6,2480,1,0,1,1,0,0,3,2,1,AMR,1867,473,1553960
6,2480,1,0,2,1,0,0,1,3,1,AMR,1867,473,1553960
6,2480,1,0,2,1,0,0,1,3,2,AMR,1867,473,1553960
6,2480,1,0,2,1,0,0,2,2,2,AMR,1867,473,1553960
6,2480,1,0,2,2,0,0,1,3,1,AMR,1867,473,1553960
6,2480,1,0,2,2,0,0,1,3,2,AMR,1867,473,1553960
6,2480,1,0,2,2,0,0,2,2,2,AMR,1867,473,1553960
6,2480,1,0,3,1,0,0,1,1,1,AMR,1867,473,1553960
6,2480,1,0,3,1,0,0,1,2,1,AMR,1867,473,1553960
6,2480,1,0,3,1,0,0,1,2,10,AMR,1867,473,1553960
6,2480,1,0,3,1,0,0,1,3,1,AMR,1867,473,1553960
6,2480,1,0,3,1,0,0,1,3,10,AMR,1867,473,1553960
6,2480,1,0,3,1,0,0,2,1,1,AMR,1867,473,1553960
6,2480,1,0,3,1,0,0,2,2,1,AMR,1867,473,1553960
6,2480,1,0,3,1,0,0,3,2,1,AMR,1867,473,1553960
6,2480,1,0,3,1,0,0,3,3,1,AMR,1867,473,1553960
6,2480,1,0,3,1,0,0,4,2,1,AMR,1867,473,1553960
6,2480,1,0,3,1,0,1,1,1,1,AMR,1867,473,1553960
6,2480,1,0,3,1,0,1,3,2,1,AMR,1867,473,1553960
6,2480,1,0,3,1,0,1,4,2,1,AMR,1867,473,1553960
6,2480,1,0,3,1,1,0,1,2,1,AMR,1867,473,1553960
6,2480,1,0,3,1,1,0,1,3,2,AMR,1867,473,1553960
6,2480,1,0,3,1,1,0,2,1,10,AMR,1867,473,1553960
6,2480,1,0,3,1,1,0,2,2,2,AMR,1867,473,1553960
6,2480,1,0,3,1,1,0,3,2,1,AMR,1867,473,1553960
6,2480,1,0,3,1,1,0,4,2,1,AMR,1867,473,1553960
6,2480,1,0,3,1,1,0,4,2,10,AMR,1867,473,1553960
6,2480,1,0,3,1,1,1,1,2,1,AMR,1867,473,1553960
6,2480,1,0,3,2,0,0,1,1,1,AMR,1867,473,1553960
6,2480,1,0,3,2,0,0,1,2,1,AMR,1867,473,1553960
6,2480,1,0,3,2,0,0,1,3,1,AMR,1867,473,1553960
6,2480,1,0,3,2,0,0,2,2,1,AMR,1867,473,1553960
6,2480,1,0,3,2,0,0,3,2,1,AMR,1867,473,1553960
6,2480,1,0,3,2,0,0,3,3,1,AMR,1867,473,1553960
6,2480,1,0,3,2,1,0,3,2,1,AMR,1867,473,1553960
6,2480,1,0,4,1,0,0,1,1,1,AMR,1867,473,1553960
6,2480,1,0,4,1,0,0,1,2,1,AMR,1867,473,1553960
6,2480,1,0,4,1,0,0,1,2,10,AMR,1867,473,1553960
6,2480,1,0,4,1,0,0,1,3,10,AMR,1867,473,1553960
6,2480,1,0,4,1,0,0,2,1,1,AMR,1867,473,1553960
6,2480,1,0,4,1,0,0,2,2,1,AMR,1867,473,1553960
6,2480,1,0,4,1,0,0,3,1,1,AMR,1867,473,1553960
6,2480,1,0,4,1,0,0,3,2,1,AMR,1867,473,1553960
6,2480,1,0,4,1,0,0,4,2,1,AMR,1867,473,1553960
6,2480,1,0,4,1,0,1,1,2,1,AMR,1867,473,1553960
6,2480,1,0,4,1,0,1,1,3,1,AMR,1867,473,1553960
6,2480,1,0,4,2,0,0,1,2,1,AMR,1867,473,1553960
6,2480,1,0,4,2,0,0,3,2,1,AMR,1867,473,1553960
6,2480,1,0,4,2,0,0,3,2,10,AMR,1867,473,1553960
6,2480,1,0,4,2,1,1,1,2,1,AMR,1867,473,1553960
6,2480,1,0,5,1,0,0,1,1,1,AMR,1867,473,1553960
6,2480,1,0,5,1,0,0,1,2,1,AMR,1867,473,1553960
6,2480,1,0,5,1,0,0,1,3,1,AMR,1867,473,1553960
6,2480,1,0,5,1,0,0,1,3,2,AMR,1867,473,1553960
6,2480,1,0,5,1,0,0,2,1,1,AMR,1867,473,1553960
6,2480,1,0,5,1,0,0,2,2,1,AMR,1867,473,1553960
6,2480,1,0,5,1,0,0,2,2,2,AMR,1867,473,1553960
6,2480,1,0,5,1,0,0,3,2,1,AMR,1867,473,1553960
6,2480,1,0,5,1,0,0,3,3,1,AMR,1867,473,1553960
6,2480,1,0,5,1,0,0,4,2,1,AMR,1867,473,1553960
6,2480,1,0,5,1,1,0,3,2,10,AMR,1867,473,1553960
6,2480,1,0,5,2,0,0,1,2,1,AMR,1867,473,1553960
6,2480,1,0,5,2,0,0,4,2,1,AMR,1867,473,1553960
6,2480,1,0,6,1,0,0,1,2,1,AMR,1867,473,1553960
6,2480,1,0,6,1,0,0,2,2,1,AMR,1867,473,1553960
6,2480,1,0,6,1,0,0,3,1,1,AMR,1867,473,1553960
6,2480,1,0,6,1,0,0,3,2,1,AMR,1867,473,1553960
6,2480,1,0,6,1,0,0,4,2,1,AMR,1867,473,1553960
6,2480,1,0,6,1,1,0,1,1,1,AMR,1867,473,1553960
6,2480,1,0,6,1,1,0,1,2,1,AMR,1867,473,1553960
6,2480,1,0,6,1,1,0,2,1,1,AMR,1867,473,1553960
6,2480,1,0,6,1,1,0,4,2,1,AMR,1867,473,1553960
6,2480,1,0,6,2,0,0,1,2,1,AMR,1867,473,1553960
6,2480,1,0,6,2,0,0,2,1,10,AMR,1867,473,1553960
6,2480,1,0,6,2,0,0,4,2,10,AMR,1867,473,1553960
6,2480,1,0,7,1,0,0,1,1,1,AMR,1867,473,1553960
6,2480,1,0,7,1,0,0,1,2,1,AMR,1867,473,1553960
6,2480,1,0,7,1,0,0,2,1,1,AMR,1867,473,1553960
6,2480,1,0,7,1,0,0,3,1,1,AMR,1867,473,1553960
6,2480,1,0,7,1,0,0,4,2,1,AMR,1867,473,1553960
6,2840,1,0,2,2,0,1,1,2,1,AMR,1867,473,1553960
6,2840,1,0,3,1,0,1,1,2,1,AMR,1867,473,1553960
6,2840,1,0,3,2,0,0,2,2,10,AMR,1867,473,1553960
6,2840,1,0,3,2,0,0,3,3,10,AMR,1867,473,1553960
6,2840,1,0,3,2,1,1,1,2,10,AMR,1867,473,1553960
6,2840,1,0,3,2,1,1,3,3,10,AMR,1867,473,1553960
6,2840,1,0,4,1,0,0,1,2,1,AMR,1867,473,1553960
6,2840,1,0,4,1,0,1,2,2,10,AMR,1867,473,1553960
6,2840,1,0,4,1,0,1,3,3,10,AMR,1867,473,1553960
6,2840,1,0,4,2,0,0,1,2,1,AMR,1867,473,1553960
6,2840,1,0,5,2,0,0,2,2,10,AMR,1867,473,1553960
6,2840,1,0,5,2,0,0,3,3,10,AMR,1867,473,1553960
6,3360,1,0,3,1,0,0,1,2,1,AMR,1867,473,1553960
6,3360,1,0,3,1,0,0,3,2,1,AMR,1867,473,1553960
6,3360,1,0,4,1,1,0,1,2,1,AMR,1867,473,1553960
6,3360,1,0,4,1,1,0,1,3,1,AMR,1867,473,1553960
6,3360,1,0,4,1,1,0,4,2,1,AMR,1867,473,1553960
6,3360,1,0,4,2,0,0,1,2,1,AMR,1867,473,1553960
6,3360,1,0,4,2,0,0,3,2,1,AMR,1867,473,1553960
6,3360,1,0,6,1,0,0,1,2,1,AMR,1867,473,1553960
6,3360,1,0,6,1,0,0,2,2,1,AMR,1867,473,1553960
6,3360,1,0,6,1,0,0,3,2,1,AMR,1867,473,1553960
6,3360,1,0,6,2,0,0,1,2,1,AMR,1867,473,1553960
6,3360,1,0,6,2,0,0,1,3,1,AMR,1867,473,1553960
6,3360,1,0,6,2,0,0,4,2,1,AMR,1867,473,1553960
6,3360,1,0,7,1,0,0,1,2,1,AMR,1867,473,1553960
6,3360,1,0,7,1,0,0,3,2,1,AMR,1867,473,1553960
6,3993,1,0,2,1,0,0,2,2,1,AMR,1867,473,1553960
6,3993,1,0,3,1,1,1,2,2,1,AMR,1867,473,1553960
6,0,5,0,2,1,0,0,1,2,10,AMR,51,41,37003
6,0,5,0,2,1,0,0,3,2,10,AMR,51,41,37003
6,0,5,0,3,1,0,0,1,2,1,AMR,51,41,37003
6,0,5,0,3,1,0,0,2,2,1,AMR,51,41,37003
6,0,5,0,3,2,0,0,1,2,1,AMR,51,41,37003
6,0,5,0,3,2,0,0,2,2,1,AMR,51,41,37003
6,0,5,0,3,2,0,0,3,2,1,AMR,51,41,37003
6,0,5,0,3,2,1,0,1,2,10,AMR,51,41,37003
6,0,5,0,3,2,1,0,3,2,10,AMR,51,41,37003
6,0,5,0,4,1,0,0,1,2,1,AMR,51,41,37003
6,0,5,0,4,1,0,0,2,2,1,AMR,51,41,37003
6,0,5,0,4,1,0,0,5,1,1,AMR,51,41,37003
6,0,5,0,4,1,1,0,1,2,1,AMR,51,41,37003
6,0,5,0,4,1,1,0,2,2,1,AMR,51,41,37003
6,0,5,0,4,1,1,0,5,1,1,AMR,51,41,37003
6,0,5,0,4,2,0,0,3,2,1,AMR,51,41,37003
6,0,5,0,5,1,0,0,1,2,1,AMR,51,41,37003
6,0,5,0,5,1,0,0,2,2,1,AMR,51,41,37003
6,0,5,0,5,1,1,0,1,3,10,AMR,51,41,37003
6,0,5,0,6,1,0,0,1,2,1,AMR,51,41,37003
6,0,5,0,6,1,0,0,5,1,1,AMR,51,41,37003
6,0,5,0,6,2,0,0,1,2,1,AMR,51,41,37003
6,0,5,0,6,2,0,0,2,2,1,AMR,51,41,37003
6,1740,5,0,5,1,0,0,1,2,1,AMR,51,41,37003
6,1740,5,0,5,1,0,0,2,2,1,AMR,51,41,37003
6,1740,5,0,5,1,0,0,3,2,1,AMR,51,41,37003
6,0,7,0,2,2,0,0,1,2,1,AMR,403,104,221016
6,0,7,0,3,1,0,0,1,2,1,AMR,403,104,221016
6,0,7,0,3,1,1,0,1,1,1,AMR,403,104,221016
6,0,7,0,3,1,1,0,1,2,1,AMR,403,104,221016
6,0,7,0,3,1,1,0,1,3,1,AMR,403,104,221016
6,0,7,0,3,1,1,0,2,2,1,AMR,403,104,221016
6,0,7,0,3,2,0,0,1,2,10,AMR,403,104,221016
6,0,7,0,3,2,0,0,3,2,10,AMR,403,104,221016
6,0,7,0,3,2,0,0,4,2,10,AMR,403,104,221016
6,0,7,0,4,1,0,0,1,2,1,AMR,403,104,221016
6,0,7,0,4,1,0,0,3,2,2,AMR,403,104,221016
6,0,7,0,4,1,1,0,2,1,1,AMR,403,104,221016
6,0,7,0,4,1,1,0,2,2,1,AMR,403,104,221016
6,0,7,0,4,2,0,0,1,2,1,AMR,403,104,221016
