STATELINK,CITYLINK,TYPE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
MISSOURI,COLUMBIA,ASSAULTS,279,287,319,305,337,322,443,230,309,359,377,270
MISSOURI,COLUMBIA,AUTO THEFTS,181,194,175,151,173,226,220,147,132,135,142,143
MISSOURI,COLUMBIA,BURGLARIES,455,432,459,428,506,544,594,836,692,552,798,784
MISSOURI,COLUMBIA,ROBBERIES,140,90,84,106,114,113,141,138,157,131,166,162
MISSOURI,COLUMBIA,ARSON,32,13,20,8,28,12,7,10,11,7,16,14
MISSOURI,COLUMBIA,THEFTS,"2,822","2,801","2,632","2,438","2,386","2,335","2,509","2,968","3,082","3,129","3,323","3,294"
MISSOURI,COLUMBIA,MURDERS,4,2,2,1,7,2,3,5,3,3,2,3
SOUTH CAROLINA,COLUMBIA,ASSAULTS,781,949,808,961,859,852,"1,114",676,878,871,,
SOUTH CAROLINA,COLUMBIA,ROBBERIES,442,497,461,464,381,375,345,334,379,345,,
SOUTH CAROLINA,COLUMBIA,MURDERS,15,10,15,18,15,7,16,13,13,16,,
SOUTH CAROLINA,COLUMBIA,THEFTS,"6,863","6,213","5,907","6,750","5,513","5,086","5,066","4,998","5,321","5,528",,
SOUTH CAROLINA,COLUMBIA,RAPES,62,83,58,74,56,56,67,56,68,74,,
SOUTH CAROLINA,COLUMBIA,BURGLARIES,"1,426","1,639","1,395","1,703","1,332","1,254","1,267","1,182","1,678","1,699",,
SOUTH CAROLINA,COLUMBIA,ARSON,29,,15,27,26,27,24,25,11,11,,
SOUTH CAROLINA,COLUMBIA,AUTO THEFTS,985,916,825,819,837,654,630,645,690,671,,
TENNESSEE,COLUMBIA,MURDERS,1,1,1,2,3,2,5,7,3,4,3,4
TENNESSEE,COLUMBIA,AUTO THEFTS,110,103,107,93,108,109,120,71,48,49,53,30
TENNESSEE,COLUMBIA,ASSAULTS,308,281,247,300,336,321,383,327,292,234,249,230
TENNESSEE,COLUMBIA,RAPES,9,10,8,11,22,18,20,18,17,13,21,11
TENNESSEE,COLUMBIA,ROBBERIES,51,57,69,56,72,39,78,69,70,31,31,37
TENNESSEE,COLUMBIA,THEFTS,"1,464","1,496","1,425","1,680","1,341","1,191","1,316","1,127","1,210","1,043","1,079","1,048"
TENNESSEE,COLUMBIA,ARSON,12,10,10,13,6,6,11,16,7,7,2,8
TENNESSEE,COLUMBIA,BURGLARIES,448,459,448,359,347,400,384,459,393,305,276,284
MONTANA,COLUMBIA FALLS,ROBBERIES,2,1,0,0,2,1,0,0,3,,0,0
MONTANA,COLUMBIA FALLS,RAPES,1,0,2,0,0,0,1,2,1,,1,0
MONTANA,COLUMBIA FALLS,ASSAULTS,22,6,21,18,6,15,15,15,18,,4,4
MONTANA,COLUMBIA FALLS,MURDERS,0,0,0,0,0,0,0,0,0,,0,0
MONTANA,COLUMBIA FALLS,AUTO THEFTS,4,1,9,7,11,7,5,8,14,,7,3
MONTANA,COLUMBIA FALLS,ARSON,,,0,2,0,0,2,1,2,,0,1
MONTANA,COLUMBIA FALLS,THEFTS,94,115,118,125,210,178,116,189,216,,82,124
MONTANA,COLUMBIA FALLS,BURGLARIES,11,6,13,8,14,6,4,11,8,,8,4
TEXAS,COLUMBIA FALLS,THEFTS,94,115,118,125,210,178,116,189,216,,82,124
TEXAS,COLUMBIA FALLS,AUTO THEFTS,4,1,9,7,11,7,5,8,14,,7,3
TEXAS,COLUMBIA FALLS,RAPES,1,0,2,0,0,0,1,2,1,,1,0
TEXAS,COLUMBIA FALLS,BURGLARIES,11,6,13,8,14,6,4,11,8,,8,4
TEXAS,COLUMBIA FALLS,ARSON,,,0,2,0,0,2,1,2,,0,1
TEXAS,COLUMBIA FALLS,ROBBERIES,2,1,0,0,2,1,0,0,3,,0,0
TEXAS,COLUMBIA FALLS,ASSAULTS,22,6,21,18,6,15,15,15,18,,4,4
TEXAS,COLUMBIA FALLS,MURDERS,0,0,0,0,0,0,0,0,0,,0,0
MINNESOTA,COLUMBIA HEIGHTS,ROBBERIES,,28,,19,53,45,47,37,23,,20,18
MINNESOTA,COLUMBIA HEIGHTS,BURGLARIES,,105,,203,247,229,235,158,165,,128,132
MINNESOTA,COLUMBIA HEIGHTS,RAPES,,14,,2,11,,,,,,,
MINNESOTA,COLUMBIA HEIGHTS,MURDERS,,0,,0,2,1,0,2,0,,0,0
MINNESOTA,COLUMBIA HEIGHTS,AUTO THEFTS,,69,,87,112,70,80,86,45,,28,25
MINNESOTA,COLUMBIA HEIGHTS,ASSAULTS,,40,,34,49,54,40,32,30,,38,38
MINNESOTA,COLUMBIA HEIGHTS,THEFTS,,636,,703,723,679,762,646,515,,456,438
MINNESOTA,COLUMBIA HEIGHTS,ARSON,,6,,5,5,14,7,10,4,,4,1
ALABAMA,COLUMBIANA,ROBBERIES,0,0,1,1,3,,1,3,,0,0,0
ALABAMA,COLUMBIANA,ARSON,,,,,,,,,,,0,
ALABAMA,COLUMBIANA,RAPES,4,3,4,2,2,,1,1,,0,1,0
ALABAMA,COLUMBIANA,ASSAULTS,18,16,16,11,4,,17,7,,3,10,13
ALABAMA,COLUMBIANA,AUTO THEFTS,7,2,4,5,3,,1,1,,2,9,3
ALABAMA,COLUMBIANA,THEFTS,114,104,110,101,122,,106,119,,99,95,112
ALABAMA,COLUMBIANA,BURGLARIES,20,23,23,31,16,,22,32,,7,35,24
ALABAMA,COLUMBIANA,MURDERS,1,0,1,0,0,,0,0,,0,0,0
COLORADO,COLUMBINE VALLEY,THEFTS,10,8,17,12,13,10,1,12,7,,9,3
COLORADO,COLUMBINE VALLEY,MURDERS,0,0,0,0,0,0,0,0,0,,0,0
COLORADO,COLUMBINE VALLEY,RAPES,0,0,0,0,0,0,0,0,0,,0,0
COLORADO,COLUMBINE VALLEY,ASSAULTS,0,2,0,0,2,0,0,0,0,,0,0
COLORADO,COLUMBINE VALLEY,ROBBERIES,0,0,0,0,0,0,0,0,0,,0,0
COLORADO,COLUMBINE VALLEY,BURGLARIES,2,1,8,6,14,5,2,2,8,,2,2
COLORADO,COLUMBINE VALLEY,AUTO THEFTS,1,1,2,3,2,1,2,0,0,,1,0
COLORADO,COLUMBINE VALLEY,ARSON,0,0,0,1,0,0,0,0,0,,0,0
GEORGIA,COLUMBUS CITY ,AUTO THEFTS,876,"1,019","1,219","1,484","1,681","1,850","1,772","1,610","1,518","1,007","1,049",846
GEORGIA,COLUMBUS CITY ,MURDERS,9,20,19,25,22,17,24,30,13,15,15,17
GEORGIA,COLUMBUS CITY ,ARSON,11,50,40,69,80,,53,80,49,65,39,28
GEORGIA,COLUMBUS CITY ,ASSAULTS,524,427,465,454,500,569,617,537,519,475,465,523
GEORGIA,COLUMBUS CITY ,THEFTS,"8,473","8,595","9,555","8,740","8,763","9,202","9,367","9,656","9,374","8,981","8,059","7,711"
GEORGIA,COLUMBUS CITY ,BURGLARIES,"1,803","1,937","2,204","2,297","2,681","2,773","2,652","3,271","3,792","3,454","3,342","2,709"
GEORGIA,COLUMBUS CITY ,RAPES,18,25,22,30,24,19,57,72,47,38,40,31
GEORGIA,COLUMBUS CITY ,ROBBERIES,440,359,331,395,446,582,618,635,574,477,413,423
INDIANA,COLUMBUS,AUTO THEFTS,66,78,74,88,126,124,133,106,172,153,207,180
INDIANA,COLUMBUS,THEFTS,"2,138","1,891","1,733","2,104","2,115","2,153","2,116","1,695","1,768","1,834","2,087","1,768"
INDIANA,COLUMBUS,ARSON,6,12,13,7,19,9,9,2,11,9,3,5
INDIANA,COLUMBUS,RAPES,15,6,10,9,7,12,10,5,4,17,7,12
INDIANA,COLUMBUS,MURDERS,2,1,2,0,0,2,1,1,0,0,1,1
INDIANA,COLUMBUS,ASSAULTS,58,58,54,66,56,47,26,27,25,40,56,48
INDIANA,COLUMBUS,BURGLARIES,213,204,174,206,247,277,344,177,244,282,303,262
INDIANA,COLUMBUS,ROBBERIES,7,13,8,12,18,15,16,13,24,21,20,22
KANSAS,COLUMBUS,ROBBERIES,,0,0,1,0,0,1,0,0,1,0,0
KANSAS,COLUMBUS,ARSON,,0,4,3,2,4,0,0,1,1,1,0
KANSAS,COLUMBUS,THEFTS,,76,81,90,87,62,58,63,41,37,61,48
KANSAS,COLUMBUS,ASSAULTS,,3,12,4,4,7,4,3,8,3,1,15
KANSAS,COLUMBUS,BURGLARIES,,6,17,16,10,29,25,12,8,10,16,22
KANSAS,COLUMBUS,MURDERS,,0,0,0,0,0,0,0,0,0,0,0
KANSAS,COLUMBUS,RAPES,,1,1,1,0,1,2,3,0,1,0,0
KANSAS,COLUMBUS,AUTO THEFTS,,3,3,12,5,3,3,4,4,4,1,2
MISSISSIPPI,COLUMBUS,THEFTS,"1,331","1,298","1,276","1,113","1,045",841,817,725,836,730,784,773
MISSISSIPPI,COLUMBUS,MURDERS,2,3,4,0,1,4,4,1,1,2,7,1
MISSISSIPPI,COLUMBUS,RAPES,11,12,13,5,4,4,8,16,9,1,9,4
MISSISSIPPI,COLUMBUS,ARSON,3,9,1,2,1,2,1,7,4,2,1,3
MISSISSIPPI,COLUMBUS,AUTO THEFTS,89,86,73,49,55,41,58,42,52,23,36,36
MISSISSIPPI,COLUMBUS,ROBBERIES,25,18,22,32,33,30,32,45,37,34,26,16
MISSISSIPPI,COLUMBUS,BURGLARIES,297,280,273,211,195,179,207,199,276,192,336,336
MISSISSIPPI,COLUMBUS,ASSAULTS,26,35,34,41,41,23,22,35,34,46,39,79
OHIO,COLUMBUS,ASSAULTS,"2,349","2,242","2,159","1,910","1,714","1,612","1,680","1,507","1,288","1,432","1,289",
OHIO,COLUMBUS,THEFTS,"38,835","36,063","33,343","33,844","31,724","30,882","30,893","28,263","30,044","30,784","30,259",
OHIO,COLUMBUS,ARSON,476,223,,507,465,559,638,470,432,403,,
OHIO,COLUMBUS,ROBBERIES,"3,364","3,503","3,332","3,353","3,777","3,646","3,849","3,590","3,395","3,359","3,244",
OHIO,COLUMBUS,MURDERS,81,81,109,88,102,104,79,109,83,94,87,
OHIO,COLUMBUS,AUTO THEFTS,"7,576","7,633","8,345","8,397","7,813","6,400","6,228","5,311","4,186","4,150","3,615",
OHIO,COLUMBUS,BURGLARIES,"15,740","16,066","14,650","14,695","14,604","14,816","14,370","14,708","14,583","15,234","15,169",
OHIO,COLUMBUS,RAPES,602,673,615,574,518,586,661,615,574,566,565,
TEXAS,COLUMBUS,THEFTS,100,109,63,80,96,91,121,140,79,89,93,112
TEXAS,COLUMBUS,MURDERS,0,0,0,0,0,0,0,0,0,1,1,0
TEXAS,COLUMBUS,BURGLARIES,50,34,50,17,27,42,57,64,20,50,36,16
TEXAS,COLUMBUS,ROBBERIES,0,4,3,1,1,0,7,5,5,2,5,1
TEXAS,COLUMBUS,AUTO THEFTS,6,3,3,5,13,5,6,4,0,3,6,2
TEXAS,COLUMBUS,RAPES,4,0,1,0,6,2,9,13,4,2,3,6
TEXAS,COLUMBUS,ASSAULTS,11,11,13,16,20,18,68,40,34,20,12,18
TEXAS,COLUMBUS,ARSON,1,2,0,0,2,4,2,3,0,4,1,0
WISCONSIN,COLUMBUS,AUTO THEFTS,1,0,6,0,0,1,0,1,0,0,0,0
WISCONSIN,COLUMBUS,ARSON,0,0,,0,0,0,0,0,0,,0,0
WISCONSIN,COLUMBUS,MURDERS,0,0,0,0,0,0,0,0,0,0,0,0
WISCONSIN,COLUMBUS,ASSAULTS,5,3,2,3,7,2,2,6,12,3,5,6
WISCONSIN,COLUMBUS,THEFTS,89,112,92,105,92,86,106,103,94,110,77,99
WISCONSIN,COLUMBUS,RAPES,0,0,0,1,0,0,0,0,0,0,0,1
WISCONSIN,COLUMBUS,ROBBERIES,0,0,0,0,0,0,0,0,0,0,0,0
WISCONSIN,COLUMBUS,BURGLARIES,10,8,14,6,7,14,6,13,8,21,14,16
MONTANA,COLUMBUS,ASSAULTS,,,,0,4,6,4,0,1,5,0,7
MONTANA,COLUMBUS,ROBBERIES,,,,1,0,0,1,0,0,0,0,1
MONTANA,COLUMBUS,MURDERS,,,,0,0,0,0,0,0,0,0,0
MONTANA,COLUMBUS,AUTO THEFTS,,,,1,2,1,1,2,0,0,0,2
MONTANA,COLUMBUS,RAPES,,,,0,1,2,0,0,0,0,2,0
MONTANA,COLUMBUS,ARSON,,,,0,0,1,0,0,1,0,0,0
MONTANA,COLUMBUS,BURGLARIES,,,,6,7,11,1,3,3,5,6,4
MONTANA,COLUMBUS,THEFTS,,,,65,73,68,37,39,20,24,23,32
NORTH CAROLINA,COLUMBUS,RAPES,,,,,,,1,0,1,1,1,0
NORTH CAROLINA,COLUMBUS,MURDERS,,,,,,,0,0,0,0,0,0
NORTH CAROLINA,COLUMBUS,THEFTS,,,,,,,47,55,42,45,26,12
NORTH CAROLINA,COLUMBUS,ARSON,,,,,,,0,0,0,1,0,0
NORTH CAROLINA,COLUMBUS,ROBBERIES,,,,,,,0,2,3,0,1,0
NORTH CAROLINA,COLUMBUS,AUTO THEFTS,,,,,,,3,0,2,1,3,0
NORTH CAROLINA,COLUMBUS,ASSAULTS,,,,,,,1,5,4,2,3,2
NORTH CAROLINA,COLUMBUS,BURGLARIES,,,,,,,6,6,14,5,7,3
TEXAS,COLUMBUS,THEFTS,,,,65,73,68,37,39,20,24,23,32
TEXAS,COLUMBUS,ROBBERIES,,,,1,0,0,1,0,0,0,0,1
TEXAS,COLUMBUS,ARSON,,,,0,0,1,0,0,1,0,0,0
TEXAS,COLUMBUS,ASSAULTS,,,,0,4,6,4,0,1,5,0,7
TEXAS,COLUMBUS,AUTO THEFTS,,,,1,2,1,1,2,0,0,0,2
TEXAS,COLUMBUS,RAPES,,,,0,1,2,0,0,0,0,2,0
TEXAS,COLUMBUS,BURGLARIES,,,,6,7,11,1,3,3,5,6,4
TEXAS,COLUMBUS,MURDERS,,,,0,0,0,0,0,0,0,0,0
CALIFORNIA,COLUSA,ROBBERIES,2,0,2,3,0,2,5,2,3,1,2,5
CALIFORNIA,COLUSA,AUTO THEFTS,11,12,14,12,15,21,11,8,7,10,9,7
CALIFORNIA,COLUSA,MURDERS,0,0,0,0,0,0,0,0,0,0,0,1
CALIFORNIA,COLUSA,ASSAULTS,9,10,6,15,5,15,9,5,6,8,2,3
CALIFORNIA,COLUSA,ARSON,2,1,1,1,0,0,0,0,0,0,0,0
CALIFORNIA,COLUSA,THEFTS,110,106,113,102,106,131,90,83,90,77,81,92
CALIFORNIA,COLUSA,BURGLARIES,38,47,60,56,62,56,63,44,63,37,36,71
CALIFORNIA,COLUSA,RAPES,0,1,4,0,2,1,0,3,4,2,0,2
WASHINGTON,COLVILLE,THEFTS,207,274,231,247,241,142,167,182,136,142,131,122
WASHINGTON,COLVILLE,ASSAULTS,0,1,3,3,5,1,2,2,2,2,1,1
WASHINGTON,COLVILLE,ARSON,1,0,0,0,0,0,0,0,0,0,0,0
WASHINGTON,COLVILLE,AUTO THEFTS,8,18,9,24,7,5,10,1,3,8,3,3
WASHINGTON,COLVILLE,RAPES,1,0,2,0,1,2,1,1,0,0,1,0
WASHINGTON,COLVILLE,MURDERS,0,0,0,0,0,0,0,0,0,0,0,0
WASHINGTON,COLVILLE,BURGLARIES,42,34,52,45,65,24,17,8,18,13,12,11
WASHINGTON,COLVILLE,ROBBERIES,0,1,0,2,1,3,0,2,1,3,3,0
PENNSYLVANIA,COLWYN,THEFTS,8,5,,29,30,54,21,,,,43,31
PENNSYLVANIA,COLWYN,AUTO THEFTS,6,8,,17,5,16,7,,,,9,8
PENNSYLVANIA,COLWYN,MURDERS,0,0,,0,0,0,0,,,,0,0
PENNSYLVANIA,COLWYN,ROBBERIES,5,0,,5,2,3,7,,,,6,4
PENNSYLVANIA,COLWYN,BURGLARIES,7,0,,15,9,18,18,,,,35,26
PENNSYLVANIA,COLWYN,RAPES,6,4,,0,0,0,1,,,,0,1
PENNSYLVANIA,COLWYN,ASSAULTS,34,19,,8,11,29,5,,,,11,24
PENNSYLVANIA,COLWYN,ARSON,0,0,,0,0,0,0,,,,0,1
OKLAHOMA,COMANCHE,ARSON,1,1,0,1,2,0,1,1,2,1,0,0
OKLAHOMA,COMANCHE,AUTO THEFTS,3,2,1,2,9,1,2,1,3,2,2,0
OKLAHOMA,COMANCHE,BURGLARIES,7,5,17,13,23,20,21,20,26,14,7,21
OKLAHOMA,COMANCHE,THEFTS,19,21,47,51,63,58,42,29,27,29,13,36
OKLAHOMA,COMANCHE,RAPES,1,3,1,1,0,0,1,0,2,0,0,0
OKLAHOMA,COMANCHE,MURDERS,0,0,0,0,0,0,0,0,0,0,0,0
OKLAHOMA,COMANCHE,ASSAULTS,5,8,9,5,8,7,3,1,6,2,0,4
OKLAHOMA,COMANCHE,ROBBERIES,0,0,0,0,0,0,0,1,0,0,0,0
TEXAS,COMANCHE,ROBBERIES,0,0,0,0,0,0,0,0,1,3,0,1
TEXAS,COMANCHE,MURDERS,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS,COMANCHE,AUTO THEFTS,7,6,4,2,2,2,2,8,1,3,7,1
TEXAS,COMANCHE,THEFTS,112,85,102,79,88,71,126,66,117,151,167,130
TEXAS,COMANCHE,BURGLARIES,42,37,31,50,23,31,20,18,39,49,29,36
TEXAS,COMANCHE,ASSAULTS,12,14,6,4,5,6,13,6,9,14,13,9
TEXAS,COMANCHE,ARSON,1,0,0,0,1,1,1,2,0,1,2,1
TEXAS,COMANCHE,RAPES,1,0,2,1,0,2,2,0,5,1,3,1
TEXAS,COMBES,BURGLARIES,15,23,15,7,,38,16,30,13,25,31,11
TEXAS,COMBES,AUTO THEFTS,6,7,7,11,,8,6,8,4,5,3,3
TEXAS,COMBES,ASSAULTS,4,5,3,3,,11,13,12,9,12,3,5
TEXAS,COMBES,ARSON,0,0,0,0,,0,0,1,1,2,1,2
TEXAS,COMBES,THEFTS,38,34,52,20,,33,35,32,38,43,32,22
TEXAS,COMBES,RAPES,4,0,0,0,,3,3,0,0,1,0,1
TEXAS,COMBES,ROBBERIES,1,0,1,1,,2,0,0,1,0,0,0
TEXAS,COMBES,MURDERS,0,0,0,0,,0,0,0,0,0,0,1
WISCONSIN,COMBINED LOCKS,ARSON,0,0,,0,,0,0,0,0,0,,
WISCONSIN,COMBINED LOCKS,AUTO THEFTS,0,1,,1,,0,0,0,0,1,,
WISCONSIN,COMBINED LOCKS,MURDERS,0,0,,0,,0,0,0,0,0,,
WISCONSIN,COMBINED LOCKS,ASSAULTS,0,5,,2,,1,2,3,1,2,,
WISCONSIN,COMBINED LOCKS,ROBBERIES,0,0,,1,,0,0,0,0,0,,
WISCONSIN,COMBINED LOCKS,RAPES,1,0,,0,,0,0,0,0,1,,
WISCONSIN,COMBINED LOCKS,THEFTS,24,22,,19,,10,15,14,17,4,,
WISCONSIN,COMBINED LOCKS,BURGLARIES,1,0,,3,,0,4,4,3,1,,
GEORGIA,COMER,MURDERS,0,0,0,,0,,,,,,,
GEORGIA,COMER,RAPES,0,0,0,,0,,,,,,,
GEORGIA,COMER,AUTO THEFTS,0,3,1,,0,,,,,,,
GEORGIA,COMER,ROBBERIES,0,2,0,,0,,,,,,,
GEORGIA,COMER,BURGLARIES,2,2,1,,1,,,,,,,
GEORGIA,COMER,THEFTS,2,3,10,,13,,,,,,,
GEORGIA,COMER,ARSON,0,0,0,,0,,,,,,,
GEORGIA,COMER,ASSAULTS,0,0,0,,0,,,,,,,
COLORADO,COMMERCE CITY,AUTO THEFTS,350,410,375,,370,,,,,,,
COLORADO,COMMERCE CITY,ASSAULTS,132,124,123,,98,,,,,,,
COLORADO,COMMERCE CITY,BURGLARIES,315,274,358,,403,,,,,,,
COLORADO,COMMERCE CITY,RAPES,10,10,17,,5,,,,,,,
COLORADO,COMMERCE CITY,ROBBERIES,41,17,35,,19,,,,,,,
COLORADO,COMMERCE CITY,MURDERS,4,0,2,,5,,,,,,,
COLORADO,COMMERCE CITY,ARSON,12,0,15,,4,,,,,,,
COLORADO,COMMERCE CITY,THEFTS,"1,271",875,"1,427",,"1,254",,,,,,,
CALIFORNIA,COMMERCE,RAPES,8,9,3,7,4,5,5,1,2,4,5,2
CALIFORNIA,COMMERCE,AUTO THEFTS,352,396,416,433,443,400,368,414,285,332,325,264
CALIFORNIA,COMMERCE,THEFTS,457,562,518,547,559,606,588,472,597,511,507,616
CALIFORNIA,COMMERCE,ROBBERIES,74,81,59,51,64,56,67,59,68,54,46,53
CALIFORNIA,COMMERCE,ASSAULTS,96,96,82,89,77,50,77,82,118,82,65,56
CALIFORNIA,COMMERCE,MURDERS,4,7,2,3,2,6,0,1,2,2,0,1
CALIFORNIA,COMMERCE,BURGLARIES,190,138,155,149,116,153,181,155,138,157,117,130
CALIFORNIA,COMMERCE,ARSON,17,14,15,19,23,12,9,9,12,5,10,4
GEORGIA,COMMERCE,BURGLARIES,50,45,,,,49,52,31,53,27,36,27
GEORGIA,COMMERCE,ARSON,2,0,,,,,1,1,4,1,0,0
GEORGIA,COMMERCE,ASSAULTS,23,19,,,,32,26,46,21,20,23,13
GEORGIA,COMMERCE,THEFTS,238,230,,,,290,188,195,124,145,128,99
GEORGIA,COMMERCE,ROBBERIES,2,2,,,,2,7,2,5,2,2,0
GEORGIA,COMMERCE,MURDERS,1,1,,,,0,0,1,1,0,0,0
GEORGIA,COMMERCE,AUTO THEFTS,16,18,,,,16,16,21,5,8,0,2
GEORGIA,COMMERCE,RAPES,1,1,,,,3,3,2,1,2,0,1
OKLAHOMA,COMMERCE,MURDERS,0,0,0,0,,,,,,,,
OKLAHOMA,COMMERCE,RAPES,1,0,0,2,,,,,,,,
OKLAHOMA,COMMERCE,ASSAULTS,1,2,0,7,,,,,,,,
OKLAHOMA,COMMERCE,ROBBERIES,0,0,0,0,,,,,,,,
OKLAHOMA,COMMERCE,THEFTS,19,44,16,14,,,,,,,,
OKLAHOMA,COMMERCE,ARSON,0,2,0,0,,,,,,,,
OKLAHOMA,COMMERCE,BURGLARIES,11,14,3,11,,,,,,,,
OKLAHOMA,COMMERCE,AUTO THEFTS,2,4,6,2,,,,,,,,
TEXAS,COMMERCE,RAPES,6,2,7,2,6,7,10,3,4,7,5,7
TEXAS,COMMERCE,ARSON,0,0,0,1,0,0,0,0,2,1,3,0
TEXAS,COMMERCE,ROBBERIES,7,5,9,13,13,13,16,9,10,12,5,9
TEXAS,COMMERCE,AUTO THEFTS,30,19,26,16,14,11,20,13,17,13,17,8
TEXAS,COMMERCE,BURGLARIES,111,159,169,129,87,68,109,100,115,112,107,83
TEXAS,COMMERCE,ASSAULTS,55,52,41,33,23,16,46,37,18,19,10,23
TEXAS,COMMERCE,THEFTS,302,310,263,265,294,256,273,246,191,249,219,194
TEXAS,COMMERCE,MURDERS,0,0,1,0,2,0,0,0,0,0,0,1
MISSISSIPPI,COMO,ASSAULTS,,,,2,,,,,,8,2,5
MISSISSIPPI,COMO,ARSON,,,,3,,,,,,0,1,0
MISSISSIPPI,COMO,RAPES,,,,0,,,,,,1,0,1
MISSISSIPPI,COMO,MURDERS,,,,0,,,,,,0,1,0
MISSISSIPPI,COMO,THEFTS,,,,0,,,,,,19,17,20
MISSISSIPPI,COMO,AUTO THEFTS,,,,0,,,,,,5,2,1
MISSISSIPPI,COMO,ROBBERIES,,,,0,,,,,,0,1,2
MISSISSIPPI,COMO,BURGLARIES,,,,3,,,,,,12,16,10
CALIFORNIA,COMPTON,ASSAULTS,"1,217","1,239","1,021","1,031","1,152","1,049","1,078","1,067",876,800,625,736
CALIFORNIA,COMPTON,MURDERS,46,52,43,39,65,39,37,28,36,25,17,21
CALIFORNIA,COMPTON,ROBBERIES,641,482,444,466,474,534,466,595,509,477,380,428
CALIFORNIA,COMPTON,ARSON,133,136,136,110,91,99,82,95,91,41,39,40
CALIFORNIA,COMPTON,RAPES,52,37,41,28,40,50,42,48,36,25,45,33
CALIFORNIA,COMPTON,THEFTS,"1,557","1,188",991,967,971,931,"1,034","1,409","1,355","1,223","1,202","1,006"
CALIFORNIA,COMPTON,AUTO THEFTS,898,794,801,968,"1,006",902,"1,135","1,028",928,714,863,819
CALIFORNIA,COMPTON,BURGLARIES,858,738,548,611,638,578,636,896,768,847,800,574
CALIFORNIA,CONCORD,RAPES,16,22,22,28,14,20,13,12,19,28,19,19
CALIFORNIA,CONCORD,BURGLARIES,750,767,882,992,"1,114",941,816,802,808,922,898,829
CALIFORNIA,CONCORD,ASSAULTS,324,260,236,231,296,250,206,191,164,352,237,230
CALIFORNIA,CONCORD,MURDERS,0,3,4,5,1,2,3,6,2,4,7,0
CALIFORNIA,CONCORD,AUTO THEFTS,762,976,"1,013","1,224","1,162","1,187","1,212",979,860,749,637,659
CALIFORNIA,CONCORD,THEFTS,"3,563","3,490","3,358","3,764","3,972","3,258","2,970","2,667","2,202","2,128","2,268","2,694"
CALIFORNIA,CONCORD,ARSON,10,4,5,15,11,4,23,25,13,6,9,17
CALIFORNIA,CONCORD,ROBBERIES,158,143,136,129,197,248,270,216,212,167,167,153
NORTH CAROLINA,CONCORD,ARSON,20,10,,7,3,12,20,16,6,22,9,
NORTH CAROLINA,CONCORD,AUTO THEFTS,115,157,,181,245,316,230,238,226,167,131,
NORTH CAROLINA,CONCORD,ROBBERIES,88,81,,82,74,98,100,82,69,57,37,
NORTH CAROLINA,CONCORD,MURDERS,5,1,,3,5,3,7,9,6,3,2,
NORTH CAROLINA,CONCORD,RAPES,14,16,,11,15,14,21,19,16,11,8,
NORTH CAROLINA,CONCORD,BURGLARIES,355,499,,516,505,459,473,527,527,354,452,
NORTH CAROLINA,CONCORD,THEFTS,"2,103","2,065",,"2,243","2,245","2,149","2,326","2,340","2,517","2,321","2,528",
NORTH CAROLINA,CONCORD,ASSAULTS,80,75,,74,127,165,128,73,99,68,46,
MASSACHUSETTS,CONCORD,AUTO THEFTS,10,2,2,3,5,2,4,3,2,1,,1
MASSACHUSETTS,CONCORD,BURGLARIES,18,12,21,12,38,35,58,88,33,53,,20
MASSACHUSETTS,CONCORD,RAPES,0,0,0,1,1,1,1,0,0,1,,2
MASSACHUSETTS,CONCORD,ARSON,2,2,1,0,0,4,1,2,1,1,,0
MASSACHUSETTS,CONCORD,MURDERS,0,0,0,0,0,0,0,0,0,0,,0
MASSACHUSETTS,CONCORD,ROBBERIES,0,2,2,0,0,0,0,2,1,2,,1
MASSACHUSETTS,CONCORD,ASSAULTS,12,15,14,16,19,15,12,11,8,4,,10
MASSACHUSETTS,CONCORD,THEFTS,150,168,134,117,174,150,178,182,173,117,,149
KANSAS,CONCORDIA,RAPES,,1,3,2,3,4,5,6,5,7,4,7
KANSAS,CONCORDIA,ROBBERIES,,1,1,0,0,0,2,2,0,0,0,0
KANSAS,CONCORDIA,ARSON,,0,2,4,0,1,6,5,1,3,1,2
KANSAS,CONCORDIA,THEFTS,,85,101,93,93,123,166,164,160,113,127,166
KANSAS,CONCORDIA,ASSAULTS,,8,8,11,7,17,9,8,12,7,10,23
KANSAS,CONCORDIA,AUTO THEFTS,,4,8,13,11,10,11,7,8,9,4,6
KANSAS,CONCORDIA,MURDERS,,0,0,0,0,0,0,0,1,0,0,0
KANSAS,CONCORDIA,BURGLARIES,,18,42,42,47,38,58,40,22,32,34,59
MISSOURI,CONCORDIA,RAPES,,0,0,0,0,0,0,1,0,0,1,1
MISSOURI,CONCORDIA,ARSON,,0,0,0,0,0,0,1,0,0,0,0
MISSOURI,CONCORDIA,AUTO THEFTS,,2,2,1,2,2,5,3,4,1,4,2
MISSOURI,CONCORDIA,BURGLARIES,,8,6,1,6,10,11,13,8,7,12,22
MISSOURI,CONCORDIA,THEFTS,,18,28,28,23,27,47,56,41,23,28,33
MISSOURI,CONCORDIA,ROBBERIES,,0,0,1,0,1,0,1,0,0,0,0
