STATELINK,CITYLINK,TYPE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
WASHINGTON,ABERDEEN,RAPES,13,23,12,25,13,5,5,4,6,6,11,13
WASHINGTON,ABERDEEN,THEFTS,"1,268","1,344","1,376","1,623","1,399",759,752,744,734,898,694,605
WASHINGTON,ABERDEEN,ASSAULTS,22,32,25,39,22,25,15,23,34,31,34,27
WASHINGTON,ABERDEEN,ROBBERIES,12,12,13,13,20,11,13,12,28,15,16,18
NORTH CAROLINA,ABERDEEN,ROBBERIES,15,5,9,4,13,12,,,,,,
NORTH CAROLINA,ABERDEEN,BURGLARIES,55,36,32,37,34,54,,,,,,
NORTH CAROLINA,ABERDEEN,AUTO THEFTS,13,13,10,9,13,23,,,,,,
NORTH CAROLINA,ABERDEEN,MURDERS,0,0,1,0,1,1,,,,,,
NORTH CAROLINA,ABERDEEN,THEFTS,177,146,196,181,238,216,,,,,,
NORTH CAROLINA,ABERDEEN,RAPES,0,0,1,0,1,1,,,,,,
NORTH CAROLINA,ABERDEEN,ASSAULTS,1,14,15,17,19,11,,,,,,
NORTH CAROLINA,ABERDEEN,ARSON,1,0,1,0,1,6,,,,,,
TEXAS,ABERNATHY,MURDERS,0,0,0,0,0,0,1,0,0,0,0,1
TEXAS,ABERNATHY,ROBBERIES,1,0,0,0,0,0,1,2,1,1,0,0
TEXAS,ABERNATHY,RAPES,0,0,0,0,2,1,0,0,1,0,0,1
TEXAS,ABERNATHY,BURGLARIES,11,10,22,11,7,9,8,8,8,7,13,14
TEXAS,ABERNATHY,ARSON,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS,ABERNATHY,THEFTS,37,38,40,12,16,26,33,28,13,20,29,15
TEXAS,ABERNATHY,ASSAULTS,1,6,4,0,3,1,7,2,5,2,5,1
TEXAS,ABERNATHY,AUTO THEFTS,0,3,4,4,0,1,3,2,1,3,2,2
KANSAS,ABILENE,MURDERS,,,,1,0,0,1,0,0,0,0,0
KANSAS,ABILENE,THEFTS,,,,192,136,233,221,259,246,230,187,178
KANSAS,ABILENE,ARSON,,,,5,2,6,1,5,4,2,1,0
KANSAS,ABILENE,RAPES,,,,3,3,1,6,2,5,2,1,4
KANSAS,ABILENE,BURGLARIES,,,,43,19,31,33,41,33,30,42,31
KANSAS,ABILENE,ROBBERIES,,,,1,0,0,0,0,0,2,1,1
KANSAS,ABILENE,AUTO THEFTS,,,,7,5,10,17,11,10,6,5,4
KANSAS,ABILENE,ASSAULTS,,,,21,9,1,13,12,11,10,5,8
TEXAS,ABILENE,ARSON,37,37,27,15,24,33,31,41,30,26,31,18
TEXAS,ABILENE,BURGLARIES,"1,084","1,289","1,814","1,694","1,521","1,282","1,324","1,206","1,301","1,340","1,119","1,037"
TEXAS,ABILENE,AUTO THEFTS,215,229,302,272,298,303,292,233,262,182,172,171
TEXAS,ABILENE,ASSAULTS,227,266,311,256,347,375,396,373,400,394,270,304
TEXAS,ABILENE,ROBBERIES,88,111,129,178,146,107,167,180,137,112,120,127
TEXAS,ABILENE,THEFTS,"3,504","3,432","3,991","3,915","3,685","3,460","3,295","3,061","3,267","3,375","3,093","3,185"
TEXAS,ABILENE,RAPES,66,63,71,58,78,67,89,88,114,68,33,38
TEXAS,ABILENE,MURDERS,2,4,6,6,5,5,9,7,7,4,5,3
ILLINOIS,ABINGDON,BURGLARIES,12,9,9,29,38,37,26,30,9,45,10,
ILLINOIS,ABINGDON,RAPES,2,2,2,4,2,1,0,1,0,0,0,
ILLINOIS,ABINGDON,MURDERS,0,0,0,2,0,0,0,0,0,0,0,
ILLINOIS,ABINGDON,ARSON,0,0,0,0,0,0,0,0,0,0,0,
ILLINOIS,ABINGDON,THEFTS,53,53,53,71,64,47,52,29,9,28,34,
ILLINOIS,ABINGDON,AUTO THEFTS,1,1,1,2,2,1,9,4,0,2,0,
ILLINOIS,ABINGDON,ROBBERIES,0,0,0,0,0,0,0,0,0,3,6,
ILLINOIS,ABINGDON,ASSAULTS,26,38,38,46,15,6,12,6,0,0,1,
VIRGINIA,ABINGDON,RAPES,0,2,3,3,4,6,3,5,2,1,2,1
VIRGINIA,ABINGDON,AUTO THEFTS,8,14,31,21,23,24,17,7,9,8,11,7
VIRGINIA,ABINGDON,ASSAULTS,23,14,8,20,9,17,11,7,11,8,5,8
VIRGINIA,ABINGDON,BURGLARIES,23,40,36,35,35,40,22,35,28,28,30,36
VIRGINIA,ABINGDON,MURDERS,0,1,0,0,1,0,0,0,0,1,0,2
VIRGINIA,ABINGDON,THEFTS,165,266,320,285,318,396,332,304,262,250,244,227
VIRGINIA,ABINGDON,ARSON,0,0,0,1,0,1,0,1,0,0,1,2
VIRGINIA,ABINGDON,ROBBERIES,2,2,4,2,3,2,0,3,1,5,5,3
MASSACHUSETTS,ABINGTON,RAPES,2,5,3,4,5,4,2,10,3,2,1,1
MASSACHUSETTS,ABINGTON,ARSON,5,8,2,1,0,0,3,0,0,3,1,1
MASSACHUSETTS,ABINGTON,MURDERS,1,0,0,0,0,0,0,1,0,0,0,0
MASSACHUSETTS,ABINGTON,BURGLARIES,116,60,105,96,68,104,114,119,124,112,102,97
MASSACHUSETTS,ABINGTON,THEFTS,148,177,138,145,134,145,181,213,236,213,226,244
MASSACHUSETTS,ABINGTON,AUTO THEFTS,44,31,28,29,31,42,21,28,13,21,23,17
MASSACHUSETTS,ABINGTON,ROBBERIES,6,4,15,14,8,7,8,5,18,9,6,6
MASSACHUSETTS,ABINGTON,ASSAULTS,,,32,35,41,40,33,40,37,35,15,34
NEW JERSEY,ABSECON,ARSON,2,1,0,2,0,2,0,0,1,1,1,1
NEW JERSEY,ABSECON,THEFTS,188,223,180,190,253,228,188,255,157,175,158,148
NEW JERSEY,ABSECON,BURGLARIES,33,58,31,37,61,41,70,92,64,50,54,70
NEW JERSEY,ABSECON,AUTO THEFTS,17,19,22,18,28,12,10,10,3,10,6,6
NEW JERSEY,ABSECON,ROBBERIES,5,10,16,13,10,14,15,11,9,19,11,8
NEW JERSEY,ABSECON,RAPES,1,3,3,2,1,3,2,3,1,1,0,1
NEW JERSEY,ABSECON,ASSAULTS,20,14,6,21,27,17,11,13,12,6,9,13
NEW JERSEY,ABSECON,MURDERS,0,0,0,1,0,1,0,0,0,0,0,0
OKLAHOMA,ACHILLE,AUTO THEFTS,,,,,2,0,1,2,1,0,0,1
OKLAHOMA,ACHILLE,BURGLARIES,,,,,7,3,5,8,5,2,11,0
OKLAHOMA,ACHILLE,ASSAULTS,,,,,5,6,2,1,2,1,2,1
OKLAHOMA,ACHILLE,RAPES,,,,,0,0,0,0,0,0,0,0
OKLAHOMA,ACHILLE,THEFTS,,,,,14,7,9,14,3,1,6,7
OKLAHOMA,ACHILLE,MURDERS,,,,,0,0,1,0,0,0,0,0
OKLAHOMA,ACHILLE,ROBBERIES,,,,,0,0,0,0,0,0,0,0
OKLAHOMA,ACHILLE,ARSON,,,,,2,0,0,2,0,0,0,0
MISSISSIPPI,ACKERMAN,BURGLARIES,0,,0,,,,,0,,,,4
MISSISSIPPI,ACKERMAN,ASSAULTS,0,,0,,,,,1,,,,0
MISSISSIPPI,ACKERMAN,THEFTS,0,,0,,,,,3,,,,3
